Date|Close|Open|High|Low|Volume|Change
2013-05-06|287.13|285.21|287.8|284.31||1.36%
2013-05-07|287.64|286.41|288.33|285.26||0.18%
2013-05-08|289.01|288.96|290.33|287.43||0.48%
2013-05-09|287.35|288.8|288.97|285.26||-0.57%
2013-05-10|289.38|286.47|289.39|286.15||0.71%
2013-05-13|288.88|289.68|289.87|287.14||-0.17%
2013-05-14|285.42|288.19|288.22|283.83||-1.20%
2013-05-15|287.05|285.62|287.05|285.13||0.57%
2013-05-16|291.47|286.27|291.51|284.98||1.54%
2013-05-17|295.47|291.07|296.13|290.97||1.37%
2013-05-20|297.79|296|299.05|295.03||0.79%
2013-05-21|298.58|297.15|298.58|296.07||0.27%
2013-05-22|298.58|298.34|300.06|297.1||0.00%
2013-05-23|294.74|296.93|299.13|294.44||-1.29%
2013-05-24|296.84|295.87|297.21|294||0.71%
2013-05-27|297.93|296.42|298.66|296.35||0.37%
2013-05-28|302.19|297.94|302.2|296.02||1.43%
2013-05-29|302.5|302.63|303.96|302.25||0.10%
2013-05-30|302.03|301.19|302.94|300.65||-0.16%
2013-05-31|299.45|302.75|303.14|299.28||-0.85%
2013-06-03|299.01|299.46|301.41|298.32||-0.15%
2013-06-04|294.64|298.26|298.44|293.37||-1.46%
2013-06-05|294.15|294.54|295.18|292.3||-0.17%
2013-06-06|290.01|292.99|293.41|289.75||-1.41%
2013-06-07|285.31|290.43|291.24|284.31||-1.62%
2013-06-13|276.26|280.76|280.76|273.05||-3.17%
2013-06-14|278.52|277|278.79|275.95||0.82%
2013-06-17|277.65|279.47|279.57|276.45||-0.31%
2013-06-18|279.23|278.75|279.63|276.36||0.57%
2013-06-19|277.19|277.49|277.49|273.3||-0.73%
2013-06-20|268.61|275.2|275.27|268.5||-3.10%
2013-06-21|267.8|263.84|269.36|262.2||-0.30%
2013-06-24|251.39|266.57|266.57|250.46||-6.13%
2013-06-25|250.69|248.14|251.08|234.28||-0.28%
2013-06-26|251.29|250.63|252.43|247.07||0.24%
2013-06-27|249.93|252.14|254.91|249.3||-0.54%
2013-06-28|253.41|247.77|256.23|247.07||1.39%
2013-07-01|255.47|251.85|255.47|250.18||0.81%
2013-07-02|256.98|255.45|257.1|253.46||0.59%
2013-07-03|255.25|255.2|255.77|251.03||-0.67%
2013-07-04|257.19|253.15|259.65|252.36||0.76%
2013-07-05|257.24|257.78|259.98|257.04||0.02%
2013-07-08|249.63|253.43|254.12|249.5||-2.96%
2013-07-09|250.02|249.34|250.78|248.14||0.16%
2013-07-10|256.95|250.22|256.95|249.64||2.77%
2013-07-11|267.7|258.01|270.16|258.01||4.18%
2013-07-12|262.64|266.55|268.5|262.48||-1.89%
2013-07-15|266.38|264.4|268.73|262.76||1.42%
2013-07-16|267.92|265.51|267.92|263.67||0.58%
2013-07-17|264.2|266.97|268.92|263.92||-1.39%
2013-07-18|261.01|263|264.09|260.01||-1.21%
2013-07-19|255.01|261.57|262.37|254.82||-2.30%
2013-07-22|257.19|252.36|257.3|251.68||0.85%
2013-07-23|263.66|258.19|264.61|257.58||2.52%
2013-07-24|262.33|262.04|263.37|258.54||-0.50%
2013-07-25|260.31|263.11|264.01|259.56||-0.77%
2013-07-26|259.12|258.89|260.6|257.25||-0.46%
2013-07-29|253.97|256.71|256.71|253.26||-1.99%
2013-07-30|255.03|255.27|257.99|251.79||0.42%
2013-07-31|255.56|257.75|259.14|254.78||0.21%
2013-08-01|261.44|256.82|261.44|256.14||2.30%
2013-08-02|261.72|263.42|264.14|261.29||0.11%
2013-08-05|265.24|262|265.24|261.47||1.34%
2013-08-06|266.94|264.2|267.74|263.12||0.64%
2013-08-07|265.36|266.43|268.54|264.89||-0.59%
2013-08-08|264.94|264.86|266.97|263.74||-0.16%
2013-08-09|266.08|266.37|267.38|262.79||0.43%
2013-08-12|273.07|267.36|273.07|266.76||2.63%
2013-08-13|274.25|273.07|274.25|272.13||0.43%
2013-08-14|273.17|274.67|276.59|272.21||-0.39%
2013-08-15|270.18|272.95|274.39|269.99||-1.09%
2013-08-16|267.59|268.97|280.93|267.12||-0.96%
2013-08-19|271.09|265.38|271.7|265.38||1.31%
2013-08-20|269.32|270.44|273.3|268.33||-0.65%
2013-08-21|269.45|269.94|269.99|267.07||0.05%
2013-08-22|269.08|268.61|271.35|268.22||-0.14%
2013-08-23|267.5|270.45|270.88|263.47||-0.59%
2013-08-26|273.45|268.41|273.52|267.63||2.22%
2013-08-27|274.78|273.07|274.91|272.51||0.49%
2013-08-28|273.91|272.75|275.92|271.31||-0.32%
2013-08-29|273.29|275.01|275.32|271.94||-0.23%
2013-08-30|273.26|273.23|275.79|271.96||-0.01%
2013-09-02|273.37|274.34|274.93|270.5||0.04%
2013-09-03|277.11|273.62|277.16|273.05||1.37%
2013-09-04|277.25|277.01|278.16|276.17||0.05%
2013-09-05|276.6|276.89|277.51|275.86||-0.23%
2013-09-06|279.33|276.04|279.75|276.02||0.99%
2013-09-09|288.2|281.4|288.86|280.79||3.18%
2013-09-10|292.64|288.68|292.69|287.98||1.54%
2013-09-11|292.83|293.91|295.6|291.56||0.06%
2013-09-12|295.63|292.16|297.67|291.38||0.96%
2013-09-13|293.25|294.7|296.17|292.02||-0.81%
2013-09-16|292.4|294.39|294.71|291.16||-0.29%
2013-09-17|286.22|292.56|292.63|286.12||-2.11%
2013-09-18|287.67|286.31|287.85|284.55||0.51%
2013-09-19|287.67|286.31|287.85|284.55||0.00%
2013-09-20|287.67|286.31|287.85|284.55||0.00%
2013-09-23|291.98|288.93|292.04|288.27||1.50%
2013-09-24|289.57|291.38|291.38|286.56||-0.83%
2013-09-25|288.07|289.13|291.1|287.41||-0.52%
2013-09-26|282.12|287.04|287.04|281.95||-2.07%
2013-09-27|283.28|281.79|283.98|281.56||0.41%
2013-09-30|285.74|285|285.76|284.26||0.87%
2013-10-01|285.74|285|285.76|284.26||0.00%
2013-10-02|285.74|285|285.76|284.26||0.00%
2013-10-03|285.74|285|285.76|284.26||0.00%
2013-10-04|285.74|285|285.76|284.26||0.00%
2013-10-07|285.74|285|285.76|284.26||0.00%
2013-10-08|289.29|285.27|289.64|284.01||1.24%
2013-10-09|291.64|287.89|291.67|287.4||0.81%
2013-10-10|288.66|292.02|292.02|288.08||-1.02%
2013-10-11|294.19|290.55|294.27|290.21||1.92%
2013-10-14|295.17|294.83|296.12|293.68||0.33%
2013-10-15|295.13|295.59|296.01|292.96||-0.01%
2013-10-16|288.82|293.91|293.91|287.39||-2.14%
2013-10-17|287.68|290.4|291.18|287.01||-0.39%
2013-10-18|288.91|287.91|289.87|287.14||0.43%
2013-10-21|294.56|289.77|294.64|288.65||1.96%
2013-10-22|291.63|294.41|294.41|290.81||-0.99%
2013-10-23|287.37|292.08|294.24|286.48||-1.46%
2013-10-24|285.1|286.44|287.87|284.47||-0.79%
2013-10-25|280.96|285.33|286.2|279.24||-1.45%
2013-10-28|280.73|281.45|281.79|279.03||-0.08%
2013-10-29|279.05|281.07|284.52|273.73||-0.60%
2013-10-30|283.02|278.35|283.08|278.03||1.42%
2013-10-31|279.12|281.69|281.69|278.83||-1.38%
2013-11-01|279.98|278.74|281.1|277.52||0.31%
2013-11-04|280.02|281.57|281.65|279.44||0.01%
2013-11-05|281.09|278.32|281.11|276.28||0.38%
2013-11-06|278.04|279.53|281.74|278.03||-1.09%
2013-11-07|275.99|277.34|278.16|274.93||-0.74%
2013-11-08|272|274.58|275.86|271.79||-1.45%
2013-11-11|272.96|271.67|273.98|270.41||0.35%
2013-11-12|275.73|273.43|275.8|272.88||1.01%
2013-11-13|269.82|274.34|274.34|269.77||-2.14%
2013-11-14|272.07|269.94|272.2|268.41||0.83%
2013-11-15|277.78|272.36|280.46|272.36||2.10%
2013-11-18|286.96|279.91|286.98|279.12||3.30%
2013-11-19|285.72|286.73|286.98|284.74||-0.43%
2013-11-20|287.73|287.16|287.74|284.98||0.70%
2013-11-21|286.36|286.06|286.87|283.55||-0.48%
2013-11-22|284.82|286.92|287.11|284.25||-0.54%
2013-11-25|284.01|283.46|287.28|283.02||-0.28%
2013-11-26|284.16|283.95|285.12|283.16||0.05%
2013-11-27|287.29|283.93|287.9|283.63||1.10%
2013-11-28|289.8|287.92|292.05|287.58||0.87%
2013-11-29|290.27|290.23|290.82|289.16||0.16%
2013-12-02|285.89|287.31|291.97|282.81||-1.51%
2013-12-03|289.16|284.58|289.62|284.47||1.14%
2013-12-04|293.53|288.67|294.95|288.4||1.51%
2013-12-05|293.03|293.48|294.22|291.94||-0.17%
2013-12-06|291.05|292.26|293.26|290.32||-0.68%
2013-12-09|291.35|292.22|292.84|290.48||0.10%
2013-12-10|291.84|292.03|293.41|290.85||0.17%
2013-12-11|287.33|290.46|290.46|285.74||-1.55%
2013-12-12|287.23|286.7|288.88|286.51||-0.03%
2013-12-13|286.87|285.01|287.77|284.76||-0.13%
2013-12-16|282.04|287.26|287.56|281.98||-1.68%
2013-12-17|280.86|282.42|282.77|280.12||-0.42%
2013-12-18|280.76|281.01|282.24|280.09||-0.04%
2013-12-19|277.56|281.98|282.31|277.45||-1.14%
2013-12-20|271.87|277.84|278.36|271.67||-2.05%
2013-12-23|272.18|272.63|273.55|269.32||0.11%
2013-12-24|272.7|272.83|275.39|270.66||0.19%
2013-12-25|274.67|273.04|274.67|271.91||0.72%
2013-12-26|269.95|274.13|274.2|269.8||-1.72%
2013-12-27|274.21|270.17|275.29|269.77||1.58%
2013-12-30|274.27|275.74|275.81|273.83||0.02%
2013-12-31|277.29|273.07|277.57|272.87||1.10%
2014-01-01|277.29|273.07|277.57|272.87||0.00%
2014-01-02|276.49|276.33|276.78|275.13||-0.29%
2014-01-03|272.62|275.39|275.49|271.68||-1.40%
2014-01-06|266.27|271.65|271.65|265.51||-2.33%
2014-01-07|266.78|264.59|267.63|264.2||0.19%
2014-01-08|267.1|266.99|269.36|265.85||0.12%
2014-01-09|264.72|266.63|269.05|264.55||-0.89%
2014-01-10|262.41|264|264.79|261.85||-0.87%
2014-01-13|261.29|262.91|264.35|260.19||-0.43%
2014-01-14|263.9|261.19|263.93|259.88||1.00%
2014-01-15|263.81|263.37|264.19|262.06||-0.03%
2014-01-16|264.21|263.83|265.84|262.99||0.15%
2014-01-17|260.62|263.19|263.42|260.36||-1.36%
2014-01-20|259.08|260|261|258.08||-0.59%
2014-01-21|261.98|259.78|262.72|259.78||1.12%
2014-01-22|268.54|262.44|268.59|262.13||2.50%
2014-01-23|267.68|268.14|269.05|267.2||-0.32%
2014-01-24|269.63|266.81|270.62|266.65||0.73%
2014-01-27|267.15|268|268.97|266.71||-0.92%
2014-01-28|267.6|267.8|269.09|266||0.17%
2014-01-29|269.27|268.29|269.5|267.82||0.62%
2014-01-30|267.05|268.48|268.57|266.75||-0.82%
2014-01-31|267.05|268.48|268.57|266.75||0.00%
2014-02-03|267.05|268.48|268.57|266.75||0.00%
2014-02-04|267.05|268.48|268.57|266.75||0.00%
2014-02-05|267.05|268.48|268.57|266.75||0.00%
2014-02-06|267.05|268.48|268.57|266.75||0.00%
2014-02-07|269.23|264.82|269.24|264.52||0.82%
2014-02-10|275.73|270.38|275.87|270.38||2.41%
2014-02-11|277.9|275.74|279|275.23||0.79%
2014-02-12|279.09|278.05|279.15|277||0.43%
2014-02-13|277.19|278.48|280.96|277.19||-0.68%
2014-02-14|280|277.19|280.04|276.95||1.01%
2014-02-17|282.72|281.91|282.76|280.28||0.97%
2014-02-18|280.29|282.32|282.32|279.39||-0.86%
2014-02-19|282.88|280.07|284|279.24||0.92%
2014-02-20|280.23|283.71|285.42|280.04||-0.94%
2014-02-21|277.65|279.73|280.09|275.67||-0.92%
2014-02-24|273.02|275.36|275.36|270.41||-1.67%
2014-02-25|265.92|273.49|274.69|264.87||-2.60%
2014-02-26|266.88|264.69|266.93|262.88||0.36%
2014-02-27|266.17|267.77|269.73|265.77||-0.27%
2014-02-28|268.34|265.44|268.47|262.73||0.82%
2014-03-03|271.21|267.72|271.21|267.23||1.07%
2014-03-04|271.03|270.15|271.57|268.13||-0.07%
2014-03-05|268.84|271.59|271.74|268.34||-0.81%
2014-03-06|269.44|268.12|270.26|265.55||0.22%
2014-03-07|268.73|269.12|271.24|267.7||-0.26%
2014-03-10|259.64|266.1|266.1|259.24||-3.38%
2014-03-11|260.44|259.05|261.61|258.24||0.31%
2014-03-12|260.87|259.65|262.68|257.63||0.17%
2014-03-13|263.83|261.55|264.87|260.93||1.13%
2014-03-14|262.1|262.1|263.82|260.25||-0.66%
2014-03-17|265.11|263.26|265.12|261.54||1.15%
2014-03-18|265.35|265.39|266.81|264.88||0.09%
2014-03-19|264.37|264.45|264.45|261.77||-0.37%
2014-03-20|259.74|263.6|265.85|259.72||-1.75%
2014-03-21|267.66|258.67|268|258.43||3.05%
2014-03-24|270.22|267.95|271.32|267.24||0.96%
2014-03-25|270.33|269.59|271.94|268.95||0.04%
2014-03-26|269.89|271.09|271.56|269.1||-0.16%
2014-03-27|267.94|269.53|271.69|267.17||-0.72%
2014-03-28|266.39|267.74|269.57|265.53||-0.58%
2014-03-31|264.94|266.39|267.24|263.47||-0.54%
2014-04-01|267.24|264.51|267.54|264.33||0.87%
2014-04-02|268.82|267.58|269.15|267.12||0.59%
