Date|Close|Open|High|Low|Volume|Change
2004-03-05|5,562.52|5,610.37|5,616.17|5,555.68||-0.73%
2004-03-08|5,493.60|5,554.40|5,583.66|5,488.67||-1.24%
2004-03-09|5,526.11|5,490.56|5,593.83|5,490.56||0.59%
2004-03-10|5,666.52|5,534.34|5,666.52|5,534.34||2.54%
2004-03-11|5,698.62|5,675.32|5,727.84|5,653.53||0.57%
2004-03-12|5,709.83|5,700.45|5,719.22|5,654.18||0.20%
2004-03-15|5,861.91|5,715.97|5,871.00|5,715.97||2.66%
2004-03-16|5,868.92|5,883.54|5,898.58|5,830.56||0.12%
2004-03-17|5,870.32|5,874.04|5,888.36|5,815.18||0.02%
2004-03-18|5,762.42|5,872.07|5,902.32|5,752.94||-1.84%
2004-03-19|5,852.46|5,756.63|5,852.56|5,738.29||1.56%
2004-03-22|5,872.41|5,858.12|5,908.16|5,842.79||0.34%
2004-03-23|5,798.91|5,867.90|5,867.90|5,775.53||-1.25%
2004-03-24|5,772.63|5,793.23|5,810.03|5,737.40||-0.45%
2004-03-25|5,764.75|5,768.04|5,814.35|5,729.80||-0.14%
2004-03-26|5,749.10|5,763.53|5,777.86|5,708.27||-0.27%
2004-03-29|5,677.48|5,745.20|5,752.95|5,673.79||-1.25%
2004-03-30|5,678.95|5,675.93|5,702.88|5,633.14||0.03%
2004-03-31|5,718.47|5,683.52|5,738.89|5,666.90||0.70%
2004-04-01|5,779.80|5,724.41|5,779.80|5,717.09||1.07%
2004-04-02|5,811.68|5,787.39|5,817.07|5,764.44||0.55%
2004-04-05|5,743.48|5,817.06|5,819.68|5,719.50||-1.17%
2004-04-06|5,756.44|5,739.09|5,756.44|5,672.67||0.23%
2004-04-07|5,727.82|5,757.62|5,764.38|5,720.24||-0.50%
2004-04-08|5,702.39|5,723.50|5,733.58|5,692.25||-0.44%
2004-04-09|5,575.27|5,705.82|5,733.69|5,555.60||-2.23%
2004-04-12|5,517.50|5,543.85|5,561.74|5,478.49||-1.04%
2004-04-13|5,457.47|5,518.60|5,532.73|5,446.57||-1.09%
2004-04-14|5,386.57|5,450.92|5,455.45|5,329.14||-1.30%
2004-04-15|5,348.76|5,382.88|5,414.40|5,336.18||-0.70%
2004-04-16|5,406.90|5,345.20|5,408.03|5,306.45||1.09%
2004-04-19|5,308.34|5,403.45|5,407.61|5,297.26||-1.82%
2004-04-20|5,279.70|5,292.85|5,318.79|5,249.92||-0.54%
2004-04-21|5,224.97|5,283.39|5,313.99|5,207.70||-1.04%
2004-04-22|5,256.22|5,215.75|5,264.55|5,193.01||0.60%
2004-04-23|5,181.81|5,234.40|5,234.40|5,174.24||-1.42%
2004-04-26|5,209.98|5,176.58|5,214.62|5,167.89||0.54%
2004-04-27|5,157.95|5,209.80|5,234.33|5,141.07||-1.00%
2004-04-28|5,136.52|5,144.65|5,161.45|5,080.09||-0.42%
2004-04-29|5,058.55|5,130.30|5,169.53|5,055.44||-1.52%
2004-04-30|5,117.62|5,061.10|5,130.59|5,041.29||1.17%
2004-05-03|5,117.62|5,117.62|5,117.62|5,117.62||0.00%
2004-05-04|5,117.62|5,117.62|5,117.62|5,117.62||0.00%
2004-05-05|5,117.62|5,117.62|5,117.62|5,117.62||0.00%
2004-05-06|5,117.62|5,117.62|5,117.62|5,117.62||0.00%
2004-05-07|5,117.62|5,117.62|5,117.62|5,117.62||0.00%
2004-05-10|4,975.63|5,132.81|5,135.37|4,964.46||-2.77%
2004-05-11|4,999.73|4,961.88|5,007.56|4,926.99||0.48%
2004-05-12|5,109.26|5,002.32|5,109.26|4,990.03||2.19%
2004-05-13|5,086.42|5,116.35|5,116.36|5,066.53||-0.45%
2004-05-14|4,963.14|5,083.73|5,083.73|4,952.13||-2.42%
2004-05-17|4,874.71|4,938.15|4,969.17|4,873.15||-1.78%
2004-05-18|4,892.32|4,858.48|4,893.30|4,781.29||0.36%
2004-05-19|4,896.97|4,897.73|4,964.82|4,856.58||0.10%
2004-05-20|4,885.18|4,900.21|4,959.90|4,865.51||-0.24%
2004-05-21|4,933.59|4,884.23|4,935.47|4,884.23||0.99%
2004-05-24|4,918.72|4,935.98|4,946.75|4,908.43||-0.30%
2004-05-25|4,849.81|4,916.54|4,916.54|4,845.53||-1.40%
2004-05-26|4,886.47|4,839.15|4,893.98|4,823.24||0.76%
2004-05-27|4,990.96|4,886.07|5,005.51|4,853.72||2.14%
2004-05-28|4,964.02|4,993.66|5,002.53|4,956.70||-0.54%
2004-05-31|4,998.89|4,962.72|5,012.06|4,952.41||0.70%
2004-06-01|5,059.12|4,996.26|5,059.57|4,987.32||1.20%
2004-06-02|4,996.31|5,059.35|5,059.37|4,984.82||-1.24%
2004-06-03|4,930.16|4,992.98|4,992.98|4,917.56||-1.32%
2004-06-04|4,924.97|4,924.19|4,954.05|4,904.17||-0.11%
2004-06-07|4,855.01|4,914.96|4,914.96|4,831.24||-1.42%
2004-06-08|4,767.01|4,845.28|4,860.89|4,760.27||-1.81%
2004-06-09|4,721.53|4,753.19|4,777.52|4,711.56||-0.95%
2004-06-10|4,750.02|4,713.38|4,784.91|4,707.54||0.60%
2004-06-11|4,743.64|4,764.20|4,838.48|4,737.91||-0.13%
2004-06-14|4,654.65|4,732.64|4,732.64|4,630.35||-1.88%
2004-06-15|4,753.35|4,644.94|4,788.32|4,639.32||2.12%
2004-06-16|4,787.88|4,758.97|4,844.99|4,719.81||0.73%
2004-06-17|4,680.04|4,790.46|4,802.72|4,676.63||-2.25%
2004-06-18|4,603.55|4,664.62|4,664.62|4,541.36||-1.63%
2004-06-21|4,586.54|4,576.17|4,613.04|4,544.58||-0.37%
