Date|Close|Open|High|Low|Volume|Change
1995-01-24|1,151.58|1,143.02|1,153.15|1,140.18||0.72%
1995-01-25|1,166.01|1,150.94|1,166.20|1,148.37||1.25%
1995-01-26|1,156.66|1,163.53|1,183.55|1,151.68||-0.80%
1995-01-27|1,164.77|1,157.21|1,170.37|1,154.22||0.70%
1995-02-13|1,158.29|1,149.69|1,164.64|1,138.43||-0.56%
1995-02-14|1,156.82|1,154.49|1,163.05|1,150.61||-0.13%
1995-02-15|1,145.99|1,157.29|1,157.29|1,144.30||-0.94%
1995-02-16|1,140.25|1,143.73|1,145.35|1,137.89||-0.50%
1995-02-17|1,141.61|1,140.30|1,144.33|1,136.49||0.12%
1995-02-20|1,140.29|1,141.00|1,142.24|1,138.32||-0.12%
1995-02-21|1,145.62|1,139.77|1,145.62|1,136.09||0.47%
1995-02-22|1,255.50|1,146.19|1,255.52|1,141.45||9.59%
1995-02-23|1,214.87|1,247.18|1,251.64|1,184.83||-3.24%
1995-02-24|1,161.49|1,161.49|1,161.49|1,161.49||-4.39%
1995-02-27|1,159.83|1,186.32|1,221.66|1,159.82||-0.14%
1995-02-28|1,159.78|1,158.44|1,160.73|1,150.03||0.00%
1995-03-01|1,174.33|1,161.28|1,177.83|1,161.28||1.25%
1995-03-02|1,180.06|1,174.38|1,182.93|1,170.40||0.49%
1995-03-03|1,202.58|1,179.48|1,211.03|1,178.89||1.91%
1995-03-06|1,247.42|1,209.20|1,247.42|1,209.20||3.73%
1995-03-07|1,278.81|1,260.24|1,283.43|1,226.78||2.52%
1995-03-08|1,272.30|1,281.02|1,282.87|1,256.57||-0.51%
1995-03-09|1,234.42|1,260.84|1,263.85|1,234.03||-2.98%
1995-03-10|1,214.19|1,225.99|1,231.15|1,212.79||-1.64%
1995-03-13|1,205.03|1,223.44|1,235.56|1,200.57||-0.75%
1995-03-14|1,202.73|1,206.80|1,218.08|1,201.26||-0.19%
1995-03-15|1,180.35|1,206.78|1,208.45|1,173.88||-1.86%
1995-03-16|1,192.20|1,179.75|1,192.80|1,171.67||1.00%
1995-03-17|1,201.83|1,190.56|1,206.50|1,186.32||0.81%
1995-03-20|1,181.41|1,205.73|1,217.34|1,181.41||-1.70%
1995-03-21|1,189.36|1,178.29|1,191.97|1,175.99||0.67%
1995-03-22|1,212.26|1,188.29|1,213.09|1,186.14||1.93%
1995-03-23|1,196.45|1,218.96|1,221.06|1,195.79||-1.30%
1995-03-24|1,204.46|1,196.49|1,204.51|1,188.29||0.67%
1995-03-27|1,218.22|1,205.84|1,220.53|1,205.84||1.14%
1995-03-28|1,206.74|1,215.33|1,216.67|1,206.05||-0.94%
1995-03-29|1,224.46|1,205.55|1,224.46|1,200.63||1.47%
1995-03-30|1,210.10|1,226.21|1,231.68|1,209.61||-1.17%
1995-04-03|1,231.49|1,230.97|1,235.91|1,226.94||1.77%
1995-04-04|1,226.84|1,229.86|1,229.94|1,217.30||-0.38%
1995-04-05|1,210.78|1,224.89|1,225.75|1,210.63||-1.31%
1995-04-06|1,221.42|1,208.82|1,221.42|1,207.41||0.88%
1995-04-07|1,247.04|1,218.78|1,255.91|1,218.78||2.10%
1995-04-10|1,252.06|1,256.68|1,271.67|1,243.31||0.40%
1995-04-11|1,216.87|1,246.16|1,246.16|1,215.07||-2.81%
1995-04-12|1,222.17|1,209.48|1,222.61|1,207.77||0.44%
1995-04-13|1,209.31|1,222.85|1,227.36|1,208.89||-1.05%
1995-04-14|1,216.71|1,205.01|1,216.71|1,204.13||0.61%
1995-04-17|1,209.97|1,216.12|1,219.32|1,207.95||-0.55%
1995-04-18|1,200.61|1,206.58|1,209.96|1,199.62||-0.77%
1995-04-19|1,201.57|1,197.59|1,202.60|1,197.59||0.08%
1995-04-20|1,205.15|1,201.95|1,205.15|1,197.15||0.30%
1995-04-21|1,192.68|1,206.01|1,206.71|1,188.39||-1.03%
1995-04-24|1,156.94|1,184.04|1,184.04|1,156.49||-3.00%
1995-04-25|1,146.77|1,154.28|1,154.28|1,140.88||-0.88%
1995-04-26|1,109.14|1,145.98|1,156.33|1,108.82||-3.28%
1995-04-27|1,062.79|1,102.21|1,123.68|1,018.54||-4.18%
1995-04-28|1,088.23|1,069.05|1,090.99|1,063.82||2.39%
1995-05-02|1,076.18|1,085.94|1,085.94|1,069.72||-1.11%
1995-05-03|1,067.51|1,076.16|1,082.85|1,067.27||-0.81%
1995-05-04|1,056.34|1,065.30|1,068.81|1,051.82||-1.05%
1995-05-05|1,054.45|1,055.68|1,061.48|1,046.52||-0.18%
1995-05-08|1,047.10|1,052.80|1,055.23|1,046.22||-0.70%
1995-05-09|1,056.02|1,047.19|1,056.43|1,047.19||0.85%
1995-05-10|1,026.62|1,056.69|1,057.20|1,026.62||-2.78%
1995-05-11|1,029.58|1,028.24|1,039.50|1,027.37||0.29%
1995-05-12|1,045.11|1,028.11|1,059.90|1,027.82||1.51%
1995-05-15|1,038.76|1,045.66|1,045.67|1,033.60||-0.61%
1995-05-16|1,035.57|1,038.76|1,042.83|1,033.45||-0.31%
1995-05-17|1,042.71|1,036.99|1,042.71|1,033.46||0.69%
1995-05-18|1,287.36|1,233.40|1,308.63|1,200.75||23.46%
1995-05-19|1,373.28|1,290.17|1,373.28|1,262.66||6.67%
1995-05-22|1,415.23|1,415.60|1,473.30|1,374.05||3.05%
1995-05-23|1,178.14|1,291.27|1,293.64|1,174.89||-16.75%
1995-05-24|1,177.91|1,161.16|1,210.37|1,154.40||-0.02%
1995-05-25|1,128.57|1,189.22|1,197.47|1,128.00||-4.19%
1995-05-26|1,153.03|1,125.70|1,214.80|1,107.33||2.17%
1995-05-29|1,152.49|1,160.99|1,163.85|1,134.42||-0.05%
1995-05-30|1,147.77|1,152.78|1,155.23|1,135.98||-0.41%
1995-05-31|1,128.86|1,139.34|1,139.58|1,128.75||-1.65%
1995-06-01|1,139.94|1,128.77|1,139.94|1,124.34||0.98%
1995-06-02|1,133.54|1,143.11|1,144.30|1,133.54||-0.56%
1995-06-05|1,111.85|1,136.54|1,138.34|1,110.18||-1.91%
1995-06-06|1,106.17|1,105.85|1,106.17|1,091.92||-0.51%
1995-06-07|1,131.98|1,105.99|1,131.98|1,101.71||2.33%
1995-06-08|1,105.34|1,132.38|1,132.38|1,102.53||-2.35%
1995-06-09|1,110.46|1,105.11|1,114.35|1,104.59||0.46%
1995-06-12|1,100.82|1,108.86|1,109.80|1,097.99||-0.87%
1995-06-13|1,098.38|1,094.68|1,098.68|1,093.21||-0.22%
1995-06-14|1,093.63|1,100.62|1,102.85|1,090.06||-0.43%
1995-06-15|1,045.10|1,090.61|1,092.91|1,033.56||-4.44%
1995-06-16|1,055.26|1,031.20|1,057.88|1,028.11||0.97%
1995-06-19|1,052.31|1,051.74|1,053.64|1,039.10||-0.28%
1995-06-20|1,052.32|1,052.55|1,061.87|1,050.17||0.00%
1995-06-21|1,063.95|1,055.39|1,063.95|1,047.43||1.11%
1995-06-22|1,059.42|1,064.09|1,064.09|1,054.65||-0.43%
1995-06-23|1,063.02|1,059.41|1,063.82|1,056.73||0.34%
1995-06-26|1,070.64|1,063.44|1,072.18|1,059.65||0.72%
1995-06-27|1,063.89|1,068.72|1,078.31|1,061.45||-0.63%
1995-06-28|1,059.92|1,064.51|1,064.61|1,055.44||-0.37%
1995-06-29|1,052.34|1,059.45|1,061.69|1,046.78||-0.72%
1995-06-30|1,051.86|1,049.91|1,051.86|1,034.86||-0.05%
1995-07-03|1,028.27|1,046.13|1,046.13|1,027.37||-2.24%
1995-07-04|1,033.30|1,025.15|1,033.30|1,024.21||0.49%
1995-07-05|1,036.21|1,033.43|1,039.64|1,027.19||0.28%
1995-07-06|1,036.33|1,038.68|1,046.03|1,033.07||0.01%
1995-07-07|1,065.85|1,036.51|1,065.85|1,035.93||2.85%
1995-07-10|1,064.84|1,071.44|1,075.89|1,055.95||-0.09%
1995-07-11|1,051.80|1,069.00|1,071.53|1,051.42||-1.22%
1995-07-12|1,053.02|1,053.76|1,054.31|1,048.89||0.12%
1995-07-13|1,067.31|1,053.38|1,070.49|1,053.38||1.36%
1995-07-14|1,061.93|1,070.35|1,073.67|1,060.31||-0.50%
1995-07-17|1,084.71|1,062.30|1,090.14|1,062.11||2.15%
1995-07-18|1,081.55|1,086.92|1,092.10|1,065.97||-0.29%
1995-07-19|1,065.47|1,084.92|1,087.24|1,064.38||-1.49%
1995-07-20|1,082.52|1,060.84|1,104.70|1,060.35||1.60%
1995-07-21|1,095.51|1,085.93|1,102.72|1,079.79||1.20%
1995-07-24|1,100.01|1,099.56|1,108.26|1,096.45||0.41%
1995-07-25|1,089.23|1,101.08|1,101.08|1,084.69||-0.98%
1995-07-26|1,080.38|1,090.35|1,096.20|1,080.32||-0.81%
1995-07-27|1,087.94|1,080.42|1,087.94|1,078.12||0.70%
1995-07-28|1,085.49|1,089.28|1,089.43|1,083.80||-0.23%
1995-07-31|1,083.06|1,085.95|1,087.87|1,081.50||-0.22%
1995-08-01|1,096.87|1,083.24|1,096.87|1,078.96||1.28%
1995-08-02|1,086.70|1,104.33|1,107.65|1,086.17||-0.93%
1995-08-03|1,095.34|1,073.68|1,098.87|1,073.68||0.80%
1995-08-07|1,144.61|1,097.61|1,145.03|1,097.61||4.50%
1995-08-08|1,152.13|1,158.70|1,171.82|1,141.29||0.66%
1995-08-09|1,153.22|1,149.79|1,153.86|1,132.05||0.09%
1995-08-10|1,159.39|1,157.96|1,167.04|1,146.63||0.54%
1995-08-11|1,190.85|1,166.04|1,201.03|1,160.99||2.71%
1995-08-14|1,239.27|1,208.53|1,241.51|1,201.08||4.07%
1995-08-15|1,207.35|1,233.02|1,233.86|1,207.35||-2.58%
1995-08-16|1,228.30|1,203.77|1,228.61|1,198.61||1.74%
1995-08-17|1,250.27|1,238.40|1,262.69|1,232.15||1.79%
1995-08-18|1,308.39|1,250.92|1,315.44|1,241.86||4.65%
1995-08-21|1,278.18|1,309.47|1,327.98|1,262.52||-2.31%
1995-08-22|1,245.86|1,270.68|1,298.07|1,232.61||-2.53%
1995-08-23|1,209.30|1,247.32|1,250.26|1,199.13||-2.93%
1995-08-24|1,230.12|1,206.59|1,230.63|1,195.50||1.72%
1995-08-25|1,203.55|1,227.96|1,229.18|1,199.70||-2.16%
1995-08-28|1,192.11|1,196.26|1,196.26|1,187.01||-0.95%
1995-08-29|1,169.36|1,193.21|1,203.36|1,166.00||-1.91%
1995-08-30|1,161.63|1,166.03|1,174.21|1,157.36||-0.66%
1995-08-31|1,171.82|1,160.21|1,174.42|1,152.92||0.88%
1995-09-04|1,175.85|1,179.33|1,181.96|1,169.57||0.34%
1995-09-05|1,169.20|1,174.09|1,177.78|1,163.93||-0.57%
1995-09-06|1,181.66|1,169.66|1,181.66|1,162.31||1.07%
1995-09-07|1,179.66|1,191.52|1,193.25|1,179.66||-0.17%
1995-09-08|1,170.70|1,178.35|1,178.80|1,167.27||-0.76%
1995-09-11|1,183.13|1,172.89|1,183.13|1,170.02||1.06%
1995-09-12|1,184.42|1,196.04|1,205.14|1,181.84||0.11%
1995-09-13|1,196.51|1,186.63|1,196.56|1,178.31||1.02%
1995-09-14|1,205.92|1,200.99|1,217.20|1,195.49||0.79%
1995-09-15|1,210.94|1,205.12|1,218.72|1,202.25||0.42%
1995-09-18|1,215.07|1,216.81|1,220.04|1,208.37||0.34%
1995-09-19|1,175.80|1,214.27|1,214.96|1,173.36||-3.23%
1995-09-20|1,162.45|1,167.68|1,167.68|1,153.00||-1.14%
1995-09-21|1,170.87|1,161.42|1,170.87|1,161.15||0.72%
1995-09-22|1,176.57|1,175.68|1,181.36|1,168.53||0.49%
1995-09-25|1,167.38|1,180.43|1,180.43|1,161.09||-0.78%
1995-09-26|1,168.15|1,168.96|1,171.49|1,164.45||0.07%
1995-09-27|1,145.94|1,162.33|1,162.33|1,145.94||-1.90%
1995-09-28|1,145.92|1,140.03|1,146.85|1,135.25||0.00%
1995-09-29|1,164.97|1,146.45|1,165.14|1,144.16||1.66%
1995-10-04|1,157.48|1,167.52|1,168.55|1,154.31||-0.64%
1995-10-05|1,159.14|1,156.75|1,161.13|1,153.46||0.14%
1995-10-06|1,152.68|1,158.61|1,162.04|1,151.28||-0.56%
1995-10-09|1,133.34|1,151.12|1,151.12|1,131.98||-1.68%
1995-10-10|1,124.60|1,130.17|1,138.31|1,120.63||-0.77%
1995-10-11|1,120.22|1,121.46|1,123.57|1,109.39||-0.39%
1995-10-12|1,112.49|1,121.54|1,124.62|1,112.30||-0.69%
1995-10-13|1,117.74|1,110.43|1,121.29|1,107.96||0.47%
1995-10-16|1,125.93|1,120.36|1,128.94|1,114.99||0.73%
1995-10-17|1,134.81|1,128.37|1,139.02|1,128.37||0.79%
1995-10-18|1,149.70|1,139.82|1,150.30|1,135.21||1.31%
1995-10-19|1,132.67|1,154.67|1,156.26|1,128.02||-1.48%
1995-10-20|1,197.47|1,130.05|1,201.93|1,128.78||5.72%
1995-10-23|1,187.35|1,202.55|1,204.50|1,175.31||-0.85%
1995-10-24|1,182.53|1,192.72|1,197.48|1,176.86||-0.41%
1995-10-25|1,226.93|1,216.99|1,249.50|1,197.36||3.75%
1995-10-26|1,197.68|1,222.67|1,222.67|1,191.19||-2.38%
1995-10-27|1,171.35|1,189.57|1,190.64|1,166.37||-2.20%
1995-10-30|1,158.09|1,167.53|1,167.53|1,157.21||-1.13%
1995-10-31|1,153.73|1,156.31|1,168.34|1,149.40||-0.38%
1995-11-01|1,160.03|1,155.67|1,166.62|1,145.45||0.55%
1995-11-02|1,156.06|1,160.26|1,164.03|1,152.83||-0.34%
1995-11-03|1,167.19|1,156.25|1,167.47|1,156.23||0.96%
1995-11-06|1,172.22|1,167.68|1,172.77|1,161.27||0.43%
1995-11-07|1,164.24|1,171.63|1,171.70|1,161.16||-0.68%
1995-11-08|1,147.50|1,162.36|1,162.36|1,143.75||-1.44%
1995-11-09|1,146.91|1,144.08|1,147.75|1,137.94||-0.05%
1995-11-10|1,146.39|1,145.65|1,153.49|1,145.55||-0.05%
1995-11-13|1,125.94|1,138.10|1,141.24|1,123.76||-1.78%
1995-11-14|1,128.22|1,124.93|1,132.43|1,122.65||0.20%
1995-11-15|1,132.61|1,127.95|1,132.78|1,120.35||0.39%
1995-11-16|1,127.76|1,133.10|1,133.82|1,125.53||-0.43%
1995-11-17|1,132.14|1,127.08|1,135.78|1,126.47||0.39%
1995-11-20|1,135.36|1,135.76|1,135.93|1,125.24||0.28%
1995-11-21|1,141.57|1,135.27|1,142.64|1,135.27||0.55%
1995-11-22|1,123.28|1,141.45|1,154.88|1,122.46||-1.60%
1995-11-23|1,118.42|1,121.45|1,126.93|1,116.93||-0.43%
1995-11-24|1,122.42|1,121.43|1,124.44|1,116.79||0.36%
1995-11-27|1,109.10|1,118.84|1,120.75|1,107.38||-1.19%
1995-11-28|1,104.85|1,107.23|1,107.56|1,094.94||-0.38%
1995-11-29|1,092.75|1,106.68|1,106.68|1,090.99||-1.10%
1995-11-30|1,086.19|1,089.96|1,092.58|1,076.66||-0.60%
1995-12-01|1,081.70|1,079.24|1,087.85|1,071.37||-0.41%
1995-12-04|1,081.56|1,082.76|1,082.76|1,076.13||-0.01%
1995-12-05|1,085.23|1,081.70|1,088.71|1,080.59||0.34%
1995-12-06|1,082.57|1,086.29|1,088.10|1,080.66||-0.25%
1995-12-07|1,082.57|1,083.09|1,084.73|1,077.48||0.00%
1995-12-08|1,086.65|1,084.53|1,092.96|1,082.44||0.38%
1995-12-11|1,069.68|1,084.98|1,088.31|1,068.85||-1.56%
1995-12-12|1,075.66|1,067.31|1,076.63|1,054.06||0.56%
1995-12-13|1,064.96|1,076.50|1,076.88|1,060.59||-0.99%
1995-12-14|1,059.46|1,063.03|1,063.03|1,055.24||-0.52%
1995-12-15|1,049.30|1,058.60|1,061.37|1,045.94||-0.96%
1995-12-18|1,028.52|1,044.12|1,044.12|1,024.99||-1.98%
1995-12-19|1,027.44|1,025.16|1,032.58|1,023.36||-0.11%
1995-12-20|1,033.78|1,027.19|1,033.94|1,024.72||0.62%
1995-12-21|1,024.44|1,034.27|1,039.50|1,024.00||-0.90%
1995-12-22|1,023.63|1,022.46|1,027.32|1,019.20||-0.08%
1995-12-25|1,000.40|1,019.19|1,020.24|998.62||-2.27%
1995-12-26|994.94|998.88|1,005.55|993.84||-0.55%
1995-12-27|997.86|993.83|999.69|987.78||0.29%
1995-12-28|982.8|993.93|994.72|981.65||-1.51%
1995-12-29|987.75|981.39|991.71|980.25||0.50%
1996-01-02|965.68|987.08|987.08|964.78||-2.23%
1996-01-03|964.13|959.39|964.31|952.58||-0.16%
1996-01-04|983.4|964|984.67|958.39||2.00%
1996-01-05|966.22|986.44|990.17|963.17||-1.75%
1996-01-08|962.12|962.19|963.02|951.56||-0.42%
1996-01-09|983.08|961.45|985.38|960.87||2.18%
1996-01-10|967.48|980.7|980.7|960.91||-1.59%
1996-01-11|964.52|966.41|968.94|961.99||-0.31%
1996-01-12|970.56|964.38|975.33|962.81||0.63%
1996-01-15|973.04|971.4|973.32|965.12||0.26%
1996-01-16|971.88|971.26|976.08|969.11||-0.12%
1996-01-17|959.86|970.49|971.09|958.12||-1.24%
1996-01-18|935.84|956.49|956.49|935.32||-2.50%
1996-01-19|941.28|935.49|941.75|931.12||0.58%
1996-01-22|930.27|940.78|940.78|926.09||-1.17%
1996-01-23|930.06|931.96|934.07|924.34||-0.02%
1996-01-24|936.4|931.79|937.54|931.11||0.68%
1996-01-25|935.8|936.84|961.21|934.41||-0.06%
1996-01-26|952.82|929.89|965.43|927.34||1.82%
1996-01-29|955.4|955.2|962.98|949.74||0.27%
1996-01-30|958.83|959.82|961.52|951.01||0.36%
1996-01-31|958.71|958.77|959.87|949.96||-0.01%
1996-02-01|962.12|958.49|962.9|952.64||0.36%
1996-02-02|956.79|961.95|961.95|948.99||-0.55%
1996-02-05|943.93|961.47|962.72|942.99||-1.34%
1996-02-06|940.29|942.97|942.97|936.4||-0.39%
1996-02-07|938.71|938.7|942.11|936.9||-0.17%
1996-02-08|937.39|939.59|941.2|936.22||-0.14%
1996-02-09|945.16|936.4|951.68|936.4||0.83%
1996-02-12|949.92|945.87|950.45|942.22||0.50%
1996-02-13|976.35|950.07|980.04|949.92||2.78%
1996-02-14|963.56|976.53|995.15|962.2||-1.31%
1996-02-15|979.14|963.55|979.69|962.71||1.62%
1996-02-16|1,011.24|983.31|1,011.62|983.31||3.28%
1996-03-04|1,068.68|1,046.89|1,069.47|1,022.57||5.68%
1996-03-05|1,043.57|1,065.96|1,073.32|1,036.66||-2.35%
1996-03-06|1,007.97|1,034.68|1,035.14|1,005.02||-3.41%
1996-03-07|1,032.25|1,004.44|1,032.25|1,003.64||2.41%
1996-03-08|1,030.97|1,033.32|1,033.60|1,018.67||-0.12%
1996-03-11|1,013.23|1,029.55|1,029.81|1,006.99||-1.72%
1996-03-12|1,009.64|1,008.92|1,012.96|997.9||-0.35%
1996-03-13|1,010.50|1,008.57|1,012.18|1,002.79||0.09%
1996-03-14|1,015.02|1,016.92|1,038.93|1,014.81||0.45%
1996-03-15|1,017.15|1,010.85|1,019.48|1,005.97||0.21%
1996-03-18|1,026.17|1,015.79|1,026.57|1,015.15||0.89%
1996-03-19|1,023.94|1,025.21|1,033.78|1,020.82||-0.22%
1996-03-20|1,024.51|1,022.38|1,026.26|1,021.55||0.06%
1996-03-21|1,023.54|1,023.91|1,027.78|1,022.90||-0.09%
1996-03-22|1,029.74|1,022.38|1,030.13|1,017.55||0.61%
1996-03-25|1,032.16|1,028.38|1,036.15|1,026.81||0.24%
1996-03-26|1,023.90|1,031.35|1,033.99|1,021.67||-0.80%
1996-03-27|1,020.33|1,021.35|1,021.35|1,011.54||-0.35%
1996-03-28|1,013.36|1,019.09|1,021.17|1,012.17||-0.68%
