Date|Close|Change
2002-06-04|2.194|3.44%
2002-06-05|2.198|0.18%
2002-06-06|1.921|-12.60%
2002-06-07|1.913|-0.42%
2002-06-10|1.955|2.20%
2002-06-11|1.923|-1.64%
2002-06-12|1.923|0.00%
2002-06-13|1.927|0.21%
2002-06-14|1.923|-0.21%
2002-06-17|1.923|0.00%
2002-06-18|1.906|-0.88%
2002-06-19|1.913|0.37%
2002-06-20|1.93|0.89%
2002-06-21|1.94|0.52%
2002-06-24|1.989|2.53%
2002-06-25|1.977|-0.60%
2002-06-26|1.974|-0.15%
2002-06-27|1.964|-0.51%
2002-06-28|1.963|-0.05%
2002-07-01|1.968|0.25%
2002-07-02|1.971|0.15%
2002-07-03|1.957|-0.71%
2002-07-04|1.968|0.56%
2002-07-05|2.026|2.95%
2002-07-08|2.052|1.28%
2002-07-09|2.069|0.83%
2002-07-10|2.034|-1.69%
2002-07-11|2.031|-0.15%
2002-07-12|2.02|-0.54%
2002-07-15|2.078|2.87%
2002-07-16|1.996|-3.95%
2002-07-17|1.986|-0.50%
2002-07-18|2.001|0.76%
2002-07-19|1.96|-2.05%
2002-07-22|1.929|-1.58%
2002-07-23|1.977|2.49%
2002-07-24|2.001|1.21%
2002-07-25|1.988|-0.65%
2002-07-26|1.99|0.10%
2002-07-29|2.031|2.06%
2002-07-30|2.139|5.32%
2002-07-31|2.142|0.14%
2002-08-01|1.988|-7.19%
2002-08-02|1.976|-0.60%
2002-08-05|1.976|0.00%
2002-08-06|1.978|0.10%
2002-08-07|1.983|0.25%
2002-08-08|1.979|-0.20%
2002-08-09|2.036|2.88%
2002-08-12|2.062|1.28%
2002-08-13|2.096|1.65%
2002-08-14|2.057|-1.86%
2002-08-15|2.021|-1.75%
2002-08-16|2.025|0.20%
2002-08-19|1.996|-1.43%
2002-08-20|1.995|-0.05%
2002-08-21|2.002|0.35%
2002-08-22|2.006|0.20%
2002-08-23|2.034|1.40%
2002-08-26|2.026|-0.39%
2002-08-27|2.099|3.60%
2002-08-28|2.125|1.24%
2002-08-29|2.133|0.38%
2002-08-30|2.091|-1.97%
2002-09-02|2.121|1.43%
2002-09-03|2.16|1.84%
2002-09-04|2.132|-1.30%
