"Date	Close	Change"
"2001-03-14	3.148	0.06%"
"2001-03-15	3.15	0.06%"
"2001-03-19	3.158	0.25%"
"2001-03-20	3.161	0.09%"
"2001-03-22	3.165	0.13%"
"2001-03-23	3.165	0.00%"
"2001-04-09	3.217	1.64%"
"2001-04-11	3.219	0.06%"
"2001-04-12	3.224	0.16%"
"2001-04-13	3.218	-0.19%"
"2001-04-26	3.218	0.00%"
"2001-05-14	3.218	0.00%"
"2001-05-17	3.218	0.00%"
"2001-05-29	3.255	1.15%"
"2001-06-05	24.159	642.21%"
"2001-06-07	24.253	0.39%"
"2001-06-08	3.307	-86.36%"
"2001-06-11	3.307	0.00%"
"2001-06-20	3.307	0.00%"
"2001-06-28	3.351	1.33%"
"2001-07-02	2.579	-23.04%"
"2001-07-31	2.471	-4.19%"
"2001-08-01	2.565	3.80%"
"2001-08-07	2.565	0.00%"
"2001-08-22	2.565	0.00%"
"2001-08-24	2.565	0.00%"
"2001-08-27	3.185	24.17%"
"2001-09-05	3.185	0.00%"
"2001-09-17	3.183	-0.06%"
"2001-09-26	3.183	0.00%"
"2001-11-01	2.821	-11.37%"
"2001-11-02	2.792	-1.03%"
"2001-11-12	2.965	6.20%"
"2001-11-22	3.184	7.39%"
"2001-12-28	2.513	-21.07%"
"2002-01-08	2.513	0.00%"
"2002-01-09	2.513	0.00%"
"2002-01-25	2.513	0.00%"
"2002-01-30	2.498	-0.60%"
"2002-02-01	2.498	0.00%"
"2002-02-12	2.498	0.00%"
"2002-02-13	2.498	0.00%"
"2002-02-21	2.498	0.00%"
"2002-02-28	2.498	0.00%"
"2002-03-08	2.498	0.00%"
"2002-03-11	2.498	0.00%"
"2002-03-12	2.498	0.00%"
"2002-03-15	2.498	0.00%"
"2002-03-18	2.498	0.00%"
"2002-04-01	2.498	0.00%"
"2002-04-10	2.984	19.46%"
"2002-04-16	2.365	-20.74%"
"2002-04-19	2.18	-7.82%"
"2002-04-22	1.908	-12.48%"
"2002-04-23	2.313	21.23%"
"2002-04-25	2.586	11.80%"
"2002-05-01	1.841	-28.81%"
"2002-05-02	2.103	14.23%"
"2002-05-03	2.103	0.00%"
"2002-05-09	2.092	-0.52%"
"2002-05-10	2.122	1.43%"
"2002-05-14	2.133	0.52%"
"2002-05-16	2.15	0.80%"
"2002-05-17	2.132	-0.84%"
"2002-05-20	2.128	-0.19%"
"2002-05-21	2.13	0.09%"
"2002-05-22	2.129	-0.05%"
"2002-05-23	2.126	-0.14%"
"2002-05-24	2.118	-0.38%"
"2002-05-27	2.103	-0.71%"
"2002-05-30	2.075	-1.33%"
"2002-06-03	2.042	-1.59%"
"2002-06-04	1.986	-2.74%"
"2002-06-05	1.99	0.20%"
"2002-06-06	2.004	0.70%"
"2002-06-07	2.003	-0.05%"
"2002-06-10	2.033	1.50%"
"2002-06-11	2.03	-0.15%"
"2002-06-13	2.032	0.10%"
"2002-06-14	2.038	0.30%"
"2002-06-17	2.044	0.29%"
"2002-06-19	2.025	-0.93%"
"2002-06-21	2.104	3.90%"
"2002-06-24	2.053	-2.42%"
"2002-06-25	2.051	-0.10%"
"2002-06-26	2.084	1.61%"
"2002-06-27	2.088	0.19%"
"2002-06-28	2.106	0.86%"
"2002-07-03	2.219	5.37%"
"2002-07-09	2.09	-5.81%"
"2002-07-10	2.094	0.19%"
"2002-07-11	2.108	0.67%"
"2002-07-12	2.13	1.04%"
"2002-07-15	2.14	0.47%"
"2002-07-16	2.154	0.65%"
"2002-07-17	2.174	0.93%"
"2002-07-18	2.194	0.92%"
"2002-07-19	2.216	1.00%"
"2002-07-25	2.219	0.14%"
"2002-08-01	2.219	0.00%"
"2002-08-05	2.18	-1.76%"
"2002-08-12	2.184	0.18%"
"2002-08-13	2.119	-2.98%"
"2002-08-15	2.299	8.49%"
"2002-08-20	2.233	-2.87%"
"2002-08-22	2.228	-0.22%"
"2002-08-28	2.376	6.64%"
"2002-08-29	2.376	0.00%"
"2002-08-30	2.31	-2.78%"
"2002-09-02	2.297	-0.56%"
"2002-09-03	2.342	1.96%"
"2002-09-04	2.333	-0.38%"
"2002-09-09	2.333	0.00%"
"2002-09-11	2.335	0.09%"
"2002-09-13	2.392	2.44%"
"2002-09-16	2.403	0.46%"
"2002-09-18	2.452	2.04%"
"2002-09-19	2.221	-9.42%"
"2002-09-24	2.219	-0.09%"
"2002-09-26	2.478	11.67%"
"2002-09-27	2.478	0.00%"
"2002-10-04	2.49	0.48%"
"2002-10-21	2.458	-1.29%"
"2002-10-24	2.499	1.67%"
"2002-10-25	2.499	0.00%"
"2002-10-28	2.609	4.40%"
"2002-10-30	2.648	1.49%"
"2002-11-08	2.641	-0.26%"
"2002-11-11	2.458	-6.93%"
"2002-11-12	2.642	7.49%"
"2002-11-14	2.634	-0.30%"
"2002-11-25	2.658	0.91%"
"2002-12-04	2.685	1.02%"
"2002-12-09	2.887	7.52%"
"2002-12-12	3.133	8.52%"
"2002-12-19	3.707	18.32%"
"2002-12-20	3.707	0.00%"
"2002-12-23	3.437	-7.28%"
"2002-12-24	2.651	-22.87%"
"2002-12-25	2.472	-6.75%"
"2002-12-27	2.675	8.21%"
"2002-12-31	2.591	-3.14%"
"2003-01-02	2.491	-3.86%"
"2003-01-03	2.677	7.47%"
"2003-01-06	2.645	-1.20%"
"2003-01-08	2.722	2.91%"
"2003-01-09	2.648	-2.72%"
"2003-01-10	2.606	-1.59%"
"2003-01-13	2.633	1.04%"
"2003-01-14	2.552	-3.08%"
"2003-01-15	2.588	1.41%"
"2003-01-16	2.629	1.58%"
"2003-01-20	2.553	-2.89%"
"2003-01-22	2.574	0.82%"
"2003-01-23	2.545	-1.13%"
"2003-01-24	2.501	-1.73%"
"2003-01-27	2.46	-1.64%"
"2003-01-29	2.533	2.97%"
"2003-02-10	2.672	5.49%"
"2003-02-11	2.528	-5.39%"
"2003-02-13	2.531	0.12%"
"2003-02-14	2.531	0.00%"
"2003-02-18	2.525	-0.24%"
"2003-02-19	2.522	-0.12%"
"2003-02-20	2.519	-0.12%"
"2003-02-26	2.522	0.12%"
"2003-02-27	2.531	0.36%"
"2003-02-28	2.518	-0.51%"
"2003-03-03	2.514	-0.16%"
"2003-03-04	2.511	-0.12%"
"2003-03-05	2.505	-0.24%"
"2003-03-06	2.5	-0.20%"
"2003-03-07	2.501	0.04%"
"2003-03-10	2.541	1.60%"
"2003-03-12	2.502	-1.53%"
"2003-03-14	2.529	1.08%"
"2003-03-17	2.496	-1.30%"
"2003-03-18	2.517	0.84%"
"2003-03-19	2.515	-0.08%"
"2003-03-24	2.544	1.15%"
"2003-03-27	2.544	0.00%"
"2003-04-01	2.525	-0.75%"
"2003-05-06	2.516	-0.36%"
"2003-05-09	2.481	-1.39%"
"2003-05-12	2.477	-0.16%"
"2003-05-13	2.476	-0.04%"
"2003-05-14	2.47	-0.24%"
"2003-05-15	2.469	-0.04%"
"2003-05-16	3.04	23.13%"
"2003-05-19	2.577	-15.23%"
"2003-05-20	2.458	-4.62%"
"2003-05-21	2.456	-0.08%"
"2003-05-23	2.459	0.12%"
"2003-05-26	2.462	0.12%"
"2003-05-28	2.468	0.24%"
"2003-06-19	2.523	2.23%"
"2003-06-24	2.459	-2.54%"
"2003-07-01	2.468	0.37%"
"2003-07-03	2.468	0.00%"
"2003-07-07	2.468	0.00%"
"2003-07-08	2.461	-0.28%"
"2003-07-16	2.481	0.81%"
"2003-07-22	2.481	0.00%"
"2003-08-05	2.551	2.82%"
"2003-08-06	2.559	0.31%"
"2003-08-07	2.544	-0.59%"
"2003-08-08	2.561	0.67%"
"2003-08-11	2.687	4.92%"
"2003-08-12	2.557	-4.84%"
"2003-08-13	2.56	0.12%"
"2003-08-14	2.563	0.12%"
"2003-08-15	2.559	-0.16%"
"2003-08-18	2.555	-0.16%"
"2003-08-19	2.559	0.16%"
"2003-08-20	2.563	0.16%"
"2003-08-21	2.559	-0.16%"
