Date|Close|Change
2006-07-19|0.615|0.82%
2006-07-20|0.61|-0.81%
2006-07-21|0.61|0.00%
2006-07-24|0.62|1.64%
2006-07-25|0.625|0.81%
2006-07-26|0.62|-0.80%
2006-07-27|0.615|-0.81%
2006-07-28|0.614|-0.16%
2006-07-31|0.615|0.16%
2006-08-01|0.614|-0.16%
2006-08-02|0.614|0.00%
2006-08-03|0.604|-1.63%
2006-08-04|0.605|0.17%
2006-08-07|0.589|-2.64%
2006-08-08|0.589|0.00%
2006-08-09|0.589|0.00%
2006-08-10|0.6|1.87%
2006-08-11|0.585|-2.50%
2006-08-14|0.594|1.54%
2006-08-15|0.594|0.00%
2006-08-16|0.579|-2.53%
2006-08-17|0.579|0.00%
2006-08-18|0.578|-0.17%
2006-08-21|0.564|-2.42%
2006-08-22|0.549|-2.66%
2006-08-23|0.554|0.91%
2006-08-24|0.554|0.00%
2006-08-25|0|-100.00%
2006-08-28|0.443|0.00%
2006-08-29|0.458|3.39%
2006-08-30|0.453|-1.09%
2006-08-31|0.443|-2.21%
2006-09-01|0.448|1.13%
2006-09-04|0.453|1.12%
2006-09-05|0.458|1.10%
2006-09-06|0.453|-1.09%
2006-09-07|0.443|-2.21%
2006-09-08|0.453|2.26%
2006-09-11|0.383|-15.45%
2006-09-12|0.388|1.31%
2006-09-13|0.376|-3.09%
2006-09-14|0.387|2.93%
2006-09-15|0.388|0.26%
2006-09-19|0.388|0.00%
2006-09-20|0.43|10.82%
2006-09-21|0.445|3.49%
2006-09-22|0.42|-5.62%
2006-09-25|0.415|-1.19%
2006-09-26|0.405|-2.41%
2006-09-27|0.43|6.17%
2006-09-28|0.435|1.16%
2006-09-29|0.44|1.15%
2006-10-02|0.465|5.68%
2006-10-03|0.455|-2.15%
2006-10-04|0.455|0.00%
2006-10-05|0.46|1.10%
2006-10-06|0.465|1.09%
2006-10-10|0.475|2.15%
2006-10-11|0.495|4.21%
2006-10-12|0.495|0.00%
2006-10-13|0.515|4.04%
2006-10-16|0.55|6.80%
2006-10-17|0.55|0.00%
2006-10-18|0.575|4.55%
2006-10-19|0.605|5.22%
2006-10-20|0.605|0.00%
2006-10-23|0.615|1.65%
2006-10-24|0.605|-1.63%
2006-10-25|0.61|0.83%
2006-10-26|0.6|-1.64%
2006-10-27|0.595|-0.83%
2006-10-30|0.58|-2.52%
2006-10-31|0.575|-0.86%
2006-11-01|0.59|2.61%
2006-11-02|0.59|0.00%
2006-11-06|0.614|4.07%
2006-11-07|0.62|0.98%
2006-11-08|0.62|0.00%
2006-11-09|0.61|-1.61%
2006-11-10|0.609|-0.16%
2006-11-13|0.6|-1.48%
2006-11-14|0.66|10.00%
2006-11-15|0.66|0.00%
2006-11-16|0.66|0.00%
2006-11-17|0.65|-1.52%
2006-11-20|0.62|-4.62%
2006-11-21|0.619|-0.16%
2006-11-22|0.62|0.16%
2006-11-24|0.62|0.00%
2006-11-27|0.619|-0.16%
2006-11-28|0.604|-2.42%
2006-11-29|0.619|2.48%
2006-11-30|0.62|0.16%
2006-12-01|0.62|0.00%
2006-12-04|0.625|0.81%
2006-12-05|0.624|-0.16%
2006-12-06|0.644|3.21%
2006-12-07|0.664|3.11%
2006-12-08|0.664|0.00%
2006-12-11|0.649|-2.26%
2006-12-12|0.64|-1.39%
2006-12-13|0.63|-1.56%
2006-12-14|0.624|-0.95%
2006-12-15|0.637|2.08%
2006-12-18|0.643|0.94%
2006-12-19|0.627|-2.49%
2006-12-20|0.649|3.51%
2006-12-21|0.639|-1.54%
2006-12-22|0.624|-2.35%
2006-12-25|0.614|-1.60%
2006-12-26|0.603|-1.79%
2006-12-27|0.639|5.97%
2006-12-28|0.639|0.00%
2006-12-29|0.639|0.00%
2007-01-04|0.654|2.35%
2007-01-05|0.659|0.76%
