Date	Close	Change
2006-07-19	1.01	3.06%
2006-07-20	0.995	-1.49%
2006-07-21	0.995	0.00%
2006-07-24	1.025	3.02%
2006-07-25	1.049	2.34%
2006-07-26	1.039	-0.95%
2006-07-27	1.039	0.00%
2006-07-28	1.054	1.44%
2006-07-31	1.059	0.47%
2006-08-01	1.069	0.94%
2006-08-02	1.049	-1.87%
2006-08-03	1.034	-1.43%
2006-08-04	1.039	0.48%
2006-08-07	1.004	-3.37%
2006-08-08	1.019	1.49%
2006-08-09	1.035	1.57%
2006-08-10	1.064	2.80%
2006-08-11	1.019	-4.23%
2006-08-14	1.044	2.45%
2006-08-15	1.039	-0.48%
2006-08-16	1.014	-2.41%
2006-08-17	1.004	-0.99%
2006-08-18	1.019	1.49%
2006-08-21	0.984	-3.43%
2006-08-22	0.959	-2.54%
2006-08-23	0.964	0.52%
2006-08-24	0.969	0.52%
2006-08-25	0.876	-9.60%
2006-08-28	0.824	-5.94%
2006-08-29	0.859	4.25%
2006-08-30	0.834	-2.91%
2006-08-31	0.789	-5.40%
2006-09-01	0.799	1.27%
2006-09-04	0.834	4.38%
2006-09-05	0.859	3.00%
2006-09-06	0.856	-0.35%
2006-09-07	0.839	-1.99%
2006-09-08	0.869	3.58%
2006-09-11	0.799	-8.06%
2006-09-12	0.828	3.63%
2006-09-13	0.8	-3.38%
2006-09-14	0.807	0.87%
2006-09-15	0.802	-0.62%
2006-09-19	0.833	3.87%
2006-09-20	0.84	0.84%
2006-09-21	0.85	1.19%
2006-09-22	0.805	-5.29%
2006-09-25	0.8	-0.62%
2006-09-26	0.775	-3.13%
2006-09-27	0.825	6.45%
2006-09-28	0.84	1.82%
2006-09-29	0.855	1.79%
2006-10-02	0.9	5.26%
2006-10-03	0.86	-4.44%
2006-10-04	0.855	-0.58%
2006-10-05	0.875	2.34%
2006-10-06	0.87	-0.57%
2006-10-10	0.885	1.72%
2006-10-11	0.91	2.82%
2006-10-12	0.905	-0.55%
2006-10-13	0.93	2.76%
2006-10-16	0.98	5.38%
2006-10-17	0.975	-0.51%
2006-10-18	1	2.56%
2006-10-19	1.029	2.90%
2006-10-20	1.01	-1.85%
2006-10-23	1.034	2.38%
2006-10-24	1.004	-2.90%
2006-10-25	0.979	-2.49%
2006-10-26	0.945	-3.47%
2006-10-27	0.94	-0.53%
2006-10-30	0.92	-2.13%
2006-10-31	0.905	-1.63%
2006-11-01	0.915	1.10%
2006-11-02	0.915	0.00%
2006-11-06	0.96	4.92%
2006-11-07	0.964	0.42%
2006-11-08	0.95	-1.45%
2006-11-09	0.93	-2.11%
2006-11-10	0.925	-0.54%
2006-11-13	0.9	-2.70%
2006-11-14	0.979	8.78%
2006-11-15	0.979	0.00%
2006-11-16	0.989	1.02%
2006-11-17	0.989	0.00%
2006-11-20	0.939	-5.06%
2006-11-21	0.954	1.60%
2006-11-22	0.969	1.57%
2006-11-24	0.962	-0.72%
2006-11-27	0.974	1.25%
2006-11-28	0.954	-2.05%
2006-11-29	0.984	3.14%
2006-11-30	0.95	-3.46%
2006-12-01	0.934	-1.68%
2006-12-04	0.949	1.61%
2006-12-05	0.949	0.00%
2006-12-06	0.979	3.16%
2006-12-07	1.009	3.06%
2006-12-08	1.014	0.50%
2006-12-11	0.974	-3.94%
2006-12-12	0.949	-2.57%
2006-12-13	0.934	-1.58%
2006-12-14	0.934	0.00%
2006-12-15	0.97	3.85%
2006-12-18	0.985	1.55%
2006-12-19	0.95	-3.55%
2006-12-20	0.955	0.53%
2006-12-21	0.945	-1.05%
2006-12-22	0.925	-2.12%
2006-12-25	0.92	-0.54%
2006-12-26	0.905	-1.63%
2006-12-27	0.975	7.73%
2006-12-28	0.975	0.00%
2006-12-29	0.98	0.51%
2007-01-04	1.02	4.08%
2007-01-05	1.015	-0.49%
2007-01-09	1.025	0.99%
2007-01-10	1.03	0.49%
2007-01-11	1.01	-1.94%
2007-01-12	1.02	0.99%
2007-01-15	1.025	0.49%
2007-01-16	1.025	0.00%
2007-01-17	0.96	-6.34%
2007-01-18	0.98	2.08%
2007-01-19	0.93	-5.10%
2007-01-22	0.905	-2.69%
2007-01-23	0.915	1.10%
2007-01-24	0.915	0.00%
2007-01-25	0.925	1.09%
2007-01-26	0.91	-1.62%
2007-01-29	0.93	2.20%
2007-01-30	0.92	-1.08%
2007-01-31	0.905	-1.63%
2007-02-01	0.92	1.66%
2007-02-02	0.945	2.72%
2007-02-05	0.94	-0.53%
2007-02-06	0.95	1.06%
2007-02-07	0.96	1.05%
2007-02-08	0.945	-1.56%
2007-02-09	0.915	-3.17%
2007-02-13	0.955	4.37%
2007-02-14	0.95	-0.52%
2007-02-15	0.975	2.63%
2007-02-16	0.95	-2.56%
2007-02-19	0.96	1.05%
2007-02-20	0.95	-1.04%
2007-02-21	0.965	1.58%
2007-02-22	0.965	0.00%
2007-02-23	0.985	2.07%
2007-02-26	0.975	-1.02%
2007-02-27	0.955	-2.05%
2007-02-28	0.955	0.00%
2007-03-01	0.975	2.09%
2007-03-02	0.96	-1.54%
2007-03-05	0.925	-3.65%
2007-03-06	0.935	1.08%
2007-03-07	0.93	-0.53%
2007-03-08	0.925	-0.54%
2007-03-09	0.915	-1.08%
2007-03-12	0.92	0.55%
2007-03-13	0.91	-1.09%
2007-03-14	0.885	-2.75%
2007-03-15	0.893	0.90%
2007-03-16	0.887	-0.67%
2007-03-19	0.901	1.58%
2007-03-20	0.931	3.33%
2007-03-22	0.931	0.00%
2007-03-23	0.961	3.22%
2007-03-26	0.981	2.08%
2007-03-27	0.966	-1.53%
2007-03-28	0.986	2.07%
2007-03-29	0.966	-2.03%
2007-03-30	0.966	0.00%
2007-04-02	0.956	-1.04%
2007-04-03	0.961	0.52%
2007-04-04	0.986	2.60%
2007-04-05	0.971	-1.52%
2007-04-06	0.966	-0.51%
2007-04-09	0.976	1.04%
2007-04-10	0.986	1.02%
2007-04-11	0.956	-3.04%
2007-04-12	0.971	1.57%
2007-04-13	0.966	-0.51%
