Date	Price	Change
2000-10-26	8.3	-0.60%
2000-10-27	8.24	-0.72%
2000-10-28	8.24	0.00%
2000-10-30	8.22	-0.24%
2000-11-01	8.15	-0.85%
2000-11-02	8.17	0.25%
2000-11-08	8.19	0.24%
2000-11-09	8	-2.32%
2000-11-13	7.57	-5.37%
2000-11-16	7.73	2.11%
2000-11-28	7.73	0.00%
2000-11-29	7.72	-0.13%
2000-11-30	7.75	0.39%
2000-12-01	7.63	-1.55%
2000-12-04	7.08	-7.21%
2000-12-05	7.07	-0.14%
2000-12-06	6.95	-1.70%
2000-12-08	6.86	-1.29%
2000-12-12	7.27	5.98%
2000-12-13	7.3	0.41%
2000-12-14	7.11	-2.60%
2000-12-15	7.08	-0.42%
2000-12-18	7.15	0.99%
2000-12-20	7.2	0.70%
2000-12-21	7.071	-1.79%
2000-12-26	7.065	-0.08%
2000-12-27	7.305	3.40%
2000-12-29	7.26	-0.62%
2001-01-02	7.26	0.00%
2001-01-04	6.87	-5.37%
2001-01-05	6.7	-2.47%
2001-01-08	6.62	-1.19%
2001-01-09	6.69	1.06%
2001-01-10	6.66	-0.45%
2001-01-11	6.65	-0.15%
2001-01-12	6.55	-1.50%
2001-01-15	6.65	1.53%
2001-01-16	6.6	-0.75%
2001-01-17	6.6	0.00%
2001-01-18	6.5	-1.52%
2001-01-19	6.42	-1.23%
2001-01-31	6.55	2.02%
2001-02-02	6.5	-0.76%
2001-02-05	6.5	0.00%
2001-02-06	6.4	-1.54%
2001-02-08	6.36	-0.62%
2001-02-09	6.2	-2.52%
2001-02-12	6.1	-1.61%
2001-02-13	6.35	4.10%
2001-02-14	5.98	-5.83%
2001-02-15	5.95	-0.50%
2001-02-16	6.08	2.18%
2001-02-21	6.15	1.15%
2001-02-23	7.3	18.70%
2001-02-28	6.85	-6.16%
2001-03-02	6.5	-5.11%
2001-03-09	7.2	10.77%
2001-03-12	7.2	0.00%
2001-03-14	7.1	-1.39%
2001-03-15	6.7	-5.63%
2001-03-16	6.85	2.24%
2001-03-21	7.05	2.92%
2001-03-28	7.15	1.42%
2001-03-30	7.45	4.20%
2001-03-31	7.51	0.81%
2001-04-02	7.5	-0.13%
2001-04-03	7.7	2.67%
2001-04-04	7.6	-1.30%
2001-04-11	7.61	0.13%
2001-04-18	7.61	0.00%
2001-04-19	7.5	-1.45%
2001-04-20	7.67	2.27%
2001-04-30	7.85	2.35%
2001-05-03	7.65	-2.55%
2001-05-08	7.65	0.00%
2001-05-09	7.59	-0.78%
2001-05-10	7.52	-0.92%
2001-05-15	7.85	4.39%
2001-05-16	7.85	0.00%
2001-05-17	7.73	-1.53%
2001-05-23	7.62	-1.42%
2001-05-24	7.55	-0.92%
2001-05-25	7.5	-0.66%
2001-05-28	7.4	-1.33%
2001-05-29	7.34	-0.81%
2001-05-31	7.26	-1.09%
2001-06-11	7.28	0.28%
2001-06-14	7.2	-1.10%
2001-06-20	7.29	1.25%
2001-06-21	7.14	-2.06%
2001-06-22	6.99	-2.10%
