Date|Value
1996-01|2.10%
1996-02|2.30%
1996-03|0.60%
1996-04|0.70%
1996-05|-0.50%
1996-06|-1.60%
1996-07|-0.80%
1996-08|1.50%
1996-09|1.50%
1996-10|-0.20%
1996-11|-0.10%
1996-12|0.70%
1997-01|1.10%
1997-02|2.00%
1997-03|-1.10%
1997-04|-0.20%
1997-05|-0.90%
1997-06|-1.70%
1997-07|-1.20%
1997-08|0.60%
1997-09|1.70%
1997-10|-0.60%
1997-11|-0.30%
1997-12|0.10%
1998-01|0.70%
1998-02|1.50%
1998-03|-0.50%
1998-04|-0.80%
1998-05|-1.40%
1998-06|-1.80%
1998-07|-1.30%
1998-08|0.80%
1998-09|1.60%
1998-10|-0.30%
1998-11|-0.30%
1998-12|0.20%
1999-01|0.20%
1999-02|1.30%
1999-03|-0.80%
1999-04|-1.00%
1999-05|-1.30%
1999-06|-1.80%
1999-07|-0.90%
1999-08|1.00%
1999-09|2.00%
1999-10|0.00%
1999-11|-0.60%
1999-12|0.00%
2000-01|0.90%
2000-02|1.90%
2000-03|-1.60%
2000-04|-0.90%
2000-05|-1.00%
2000-06|-1.50%
2000-07|-0.80%
2000-08|1.00%
2000-09|1.60%
2000-10|-0.10%
2000-11|0.70%
2000-12|0.10%
2001-01|0.90%
2001-02|0.10%
2001-03|-0.60%
2001-04|0.20%
2001-05|-0.50%
2001-06|-1.20%
2001-07|-0.50%
2001-08|0.10%
2001-09|0.90%
2001-10|0.30%
2001-11|-0.20%
2001-12|0.10%
2002-01|0.30%
2002-02|1.10%
2002-03|-1.30%
2002-04|-0.30%
2002-05|-0.30%
2002-06|-0.90%
2002-07|-0.70%
2002-08|0.30%
2002-09|1.00%
2002-10|0.20%
2002-11|-0.10%
2002-12|0.30%
2003-01|1.10%
2003-02|0.90%
2003-03|-0.60%
2003-04|-0.20%
2003-05|-0.70%
2003-06|-1.20%
2003-07|-0.50%
2003-08|0.70%
2003-09|1.20%
2003-10|0.90%
2003-11|1.00%
2003-12|0.60%
2004-01|1.10%
2004-02|-0.20%
2004-03|0.30%
2004-04|0.50%
2004-05|-0.10%
2004-06|-0.70%
2004-07|-0.20%
2004-08|0.70%
2004-09|1.10%
2004-10|0.00%
2004-11|-0.30%
2004-12|0.10%
2005-01|0.60%
2005-02|1.80%
2005-03|-0.90%
2005-04|-0.30%
2005-05|-0.20%
2005-06|-0.80%
2005-07|0.00%
2005-08|0.20%
2005-09|0.70%
2005-10|0.40%
2005-11|-0.30%
2005-12|0.40%
2006-01|1.30%
2006-02|0.50%
2006-03|-0.90%
2006-04|0.20%
2006-05|-0.10%
2006-06|-0.50%
2006-07|-0.30%
2006-08|0.30%
2006-09|0.50%
2006-10|0.10%
2006-11|0.30%
2006-12|1.40%
2007-01|0.70%
2007-02|1.00%
2007-03|-0.30%
2007-04|-0.10%
2007-05|0.30%
2007-06|0.40%
2007-07|0.90%
2007-08|1.20%
2007-09|0.30%
2007-10|0.30%
2007-11|0.70%
2007-12|1.00%
2008-01|1.20%
2008-02|2.60%
2008-03|-0.70%
2008-04|0.10%
2008-05|-0.40%
2008-06|-0.20%
2008-07|0.10%
2008-08|-0.10%
2008-09|0.00%
2008-10|-0.30%
2008-11|-0.80%
2008-12|-0.20%
2009-01|0.90%
2009-02|0.00%
2009-03|-0.30%
2009-04|-0.20%
2009-05|-0.30%
2009-06|-0.50%
2009-07|0.00%
2009-08|0.50%
2009-09|0.40%
2009-10|-0.10%
2009-11|0.30%
2009-12|1.00%
2010-01|0.60%
2010-02|1.20%
2010-03|-0.70%
2010-04|0.20%
2010-05|-0.10%
2010-06|-0.60%
2010-07|0.40%
2010-08|0.60%
2010-09|0.60%
2010-10|0.70%
2010-11|1.10%
2010-12|0.50%
2011-01|1.00%
2011-02|1.20%
2011-03|-0.20%
2011-04|0.10%
2011-05|0.10%
2011-06|0.30%
2011-07|0.50%
2011-08|0.30%
2011-09|0.50%
2011-10|0.10%
2011-11|-0.20%
2011-12|0.30%
2012-01|1.50%
2012-02|-0.10%
2012-03|0.20%
2012-04|-0.20%
2012-05|-0.10%
2012-06|-0.30%
2012-07|-0.10%
2012-08|0.50%
2012-09|0.40%
2012-10|0.10%
2012-11|0.20%
2012-12|0.50%
2013-01|0.90%
2013-02|0.80%
2013-03|-0.60%
2013-04|0.10%
2013-05|-0.20%
2013-06|-0.20%
2013-07|0.10%
2013-08|0.40%
2013-09|0.50%
2013-10|0.20%
2013-11|0.00%
2013-12|0.40%
2014-01|0.70%
2014-02|0.80%
2014-03|-0.50%
2014-04|-0.10%
2014-05|-0.10%
2014-06|0.10%
2014-07|0.10%
2014-08|0.40%
2014-09|0.50%
2014-10|0.00%
2014-11|-0.20%
2014-12|0.30%
2015-01|0.30%
2015-02|1.20%
2015-03|-0.50%
2015-04|-0.20%
2015-05|-0.20%
2015-06|0.00%
2015-07|0.30%
2015-08|0.50%
2015-09|0.10%
2015-10|-0.30%
2015-11|0.00%
2015-12|0.50%
2016-01|0.50%
2016-02|1.60%
2016-03|-0.40%
2016-04|-0.20%
2016-05|-0.50%
2016-06|-0.10%
2016-07|0.20%
2016-08|0.10%
2016-09|0.70%
2016-10|-0.10%
2016-11|0.10%
2016-12|0.20%
2017-01|1.00%
2017-02|-0.20%
2017-03|-0.30%
2017-04|0.10%
2017-05|-0.10%
2017-06|-0.20%
2017-07|0.10%
2017-08|0.40%
