Date|Change
1990-01-01|0.043
1990-02-01|0.044
1990-03-01|0.034
1990-04-01|0.032
1990-05-01|0.027
1990-06-01|0.011
1990-07-01|0.011
1990-08-01|0.025
1990-09-01|0.029
1990-10-01|0.031
1990-11-01|0.037
1990-12-01|0.043
1991-01-01|0.022
1991-02-01|0.018
1991-03-01|0.016
1991-04-01|0.013
1991-05-01|0.036
1991-06-01|0.044
1991-07-01|0.047
1991-08-01|0.049
1991-09-01|0.045
1991-10-01|0.048
1991-11-01|0.044
1991-12-01|0.045
1992-01-01|0.055
1992-02-01|0.053
1992-03-01|0.053
1992-04-01|0.071
1992-05-01|0.047
1992-06-01|0.048
1992-07-01|0.052
1992-08-01|0.058
1992-09-01|0.075
1992-10-01|0.079
1992-11-01|0.082
1992-12-01|0.088
1993-01-01|0.103
1993-02-01|0.108
1993-03-01|0.122
1993-04-01|0.126
1993-05-01|0.14
1993-06-01|0.151
1993-07-01|0.162
1993-08-01|0.164
1993-09-01|0.157
1993-10-01|0.159
1993-11-01|0.167
1993-12-01|0.188
1994-01-01|0.211
1994-02-01|0.232
1994-03-01|0.224
1994-04-01|0.217
1994-05-01|0.213
1994-06-01|0.226
1994-07-01|0.24
1994-08-01|0.258
1994-09-01|0.273
1994-10-01|0.277
1994-11-01|0.275
1994-12-01|0.255
1995-01-01|0.241
1995-02-01|0.224
1995-03-01|0.213
1995-04-01|0.207
1995-05-01|0.203
1995-06-01|0.182
1995-07-01|0.167
1995-08-01|0.145
1995-09-01|0.132
1995-10-01|0.121
1995-11-01|0.112
1995-12-01|0.101
1996-01-01|0.09
1996-02-01|0.093
1996-03-01|0.098
1996-04-01|0.097
1996-05-01|0.089
1996-06-01|0.086
1996-07-01|0.083
1996-08-01|0.081
1996-09-01|0.074
1996-10-01|0.07
1996-11-01|0.069
1996-12-01|0.07
1997-01-01|0.059
1997-02-01|0.056
1997-03-01|0.04
1997-04-01|0.032
1997-05-01|0.028
1997-06-01|0.028
1997-07-01|0.027
1997-08-01|0.019
1997-09-01|0.018
1997-10-01|0.015
1997-11-01|0.011
1997-12-01|0.004
1998-01-01|0.003
1998-02-01|-0.001
1998-03-01|0.007
1998-04-01|-0.003
1998-05-01|-0.01
1998-06-01|-0.013
1998-07-01|-0.014
1998-08-01|-0.014
1998-09-01|-0.015
1998-10-01|-0.011
1998-11-01|-0.012
1998-12-01|-0.01
1999-01-01|-0.012
1999-02-01|-0.013
1999-03-01|-0.018
1999-04-01|-0.022
1999-05-01|-0.022
1999-06-01|-0.021
1999-07-01|-0.014
1999-08-01|-0.013
1999-09-01|-0.008
