Date|Value
1990-01|1.00%
1990-02|0.40%
1990-03|0.50%
1990-04|0.20%
1990-05|0.20%
1990-06|0.60%
1990-07|0.50%
1990-08|0.80%
1990-09|0.70%
1990-10|0.70%
1990-11|0.20%
1990-12|0.40%
1991-01|0.40%
1991-02|0.10%
1991-03|0.00%
1991-04|0.20%
1991-05|0.40%
1991-06|0.30%
1991-07|0.10%
1991-08|0.30%
1991-09|0.30%
1991-10|0.10%
1991-11|0.40%
1991-12|0.30%
1992-01|0.10%
1992-02|0.20%
1992-03|0.40%
1992-04|0.20%
1992-05|0.20%
1992-06|0.30%
1992-07|0.30%
1992-08|0.20%
1992-09|0.20%
1992-10|0.40%
1992-11|0.30%
1992-12|0.10%
1993-01|0.40%
1993-02|0.20%
1993-03|0.10%
1993-04|0.30%
1993-05|0.30%
1993-06|0.10%
1993-07|0.10%
1993-08|0.20%
1993-09|0.10%
1993-10|0.40%
1993-11|0.30%
1993-12|0.20%
1994-01|0.00%
1994-02|0.30%
1994-03|0.30%
1994-04|0.10%
1994-05|0.20%
1994-06|0.30%
1994-07|0.30%
1994-08|0.40%
1994-09|0.20%
1994-10|0.10%
1994-11|0.30%
1994-12|0.20%
1995-01|0.30%
1995-02|0.30%
1995-03|0.20%
1995-04|0.40%
1995-05|0.20%
1995-06|0.20%
1995-07|0.10%
1995-08|0.20%
1995-09|0.10%
1995-10|0.30%
1995-11|0.10%
1995-12|0.10%
1996-01|0.50%
1996-02|0.20%
1996-03|0.30%
1996-04|0.40%
1996-05|0.20%
1996-06|0.20%
1996-07|0.20%
1996-08|0.10%
1996-09|0.30%
1996-10|0.30%
1996-11|0.30%
1996-12|0.30%
1997-01|0.20%
1997-02|0.20%
1997-03|0.10%
1997-04|0.10%
1997-05|0.00%
1997-06|0.20%
1997-07|0.10%
1997-08|0.20%
1997-09|0.20%
1997-10|0.20%
1997-11|0.10%
1997-12|0.10%
1998-01|0.10%
1998-02|0.00%
1998-03|0.00%
1998-04|0.10%
1998-05|0.20%
1998-06|0.10%
1998-07|0.20%
1998-08|0.10%
1998-09|0.10%
1998-10|0.20%
1998-11|0.10%
1998-12|0.20%
1999-01|0.20%
1999-02|0.00%
1999-03|0.10%
1999-04|0.70%
1999-05|0.10%
1999-06|0.00%
1999-07|0.40%
1999-08|0.20%
1999-09|0.40%
1999-10|0.20%
1999-11|0.20%
1999-12|0.20%
2000-01|0.30%
2000-02|0.40%
2000-03|0.60%
2000-04|-0.10%
2000-05|0.20%
2000-06|0.60%
2000-07|0.30%
2000-08|0.00%
2000-09|0.50%
2000-10|0.20%
2000-11|0.20%
2000-12|0.20%
2001-01|0.60%
2001-02|0.20%
2001-03|0.10%
2001-04|0.20%
2001-05|0.50%
2001-06|0.20%
2001-07|-0.20%
2001-08|0.00%
2001-09|0.40%
2001-10|-0.30%
2001-11|-0.10%
2001-12|-0.10%
2002-01|0.20%
2002-02|0.20%
2002-03|0.30%
2002-04|0.40%
2002-05|0.10%
2002-06|0.10%
2002-07|0.20%
2002-08|0.30%
2002-09|0.20%
2002-10|0.20%
2002-11|0.20%
2002-12|0.20%
2003-01|0.40%
2003-02|0.50%
2003-03|0.20%
2003-04|-0.40%
2003-05|-0.20%
2003-06|0.10%
2003-07|0.30%
2003-08|0.40%
2003-09|0.30%
2003-10|-0.10%
2003-11|0.10%
2003-12|0.30%
2004-01|0.40%
2004-02|0.20%
2004-03|0.20%
2004-04|0.20%
2004-05|0.40%
2004-06|0.40%
2004-07|0.10%
2004-08|0.10%
2004-09|0.30%
2004-10|0.50%
2004-11|0.50%
2004-12|0.00%
2005-01|-0.10%
2005-02|0.40%
2005-03|0.40%
2005-04|0.30%
2005-05|-0.10%
2005-06|0.10%
2005-07|0.60%
2005-08|0.60%
2005-09|1.40%
2005-10|0.20%
2005-11|-0.50%
2005-12|0.00%
2006-01|0.60%
2006-02|0.10%
2006-03|0.20%
2006-04|0.50%
2006-05|0.30%
2006-06|0.20%
2006-07|0.50%
2006-08|0.40%
2006-09|-0.50%
2006-10|-0.40%
2006-11|0.00%
2006-12|0.50%
2007-01|0.20%
2007-02|0.40%
2007-03|0.50%
2007-04|0.30%
2007-05|0.40%
2007-06|0.20%
2007-07|0.20%
2007-08|0.00%
2007-09|0.40%
2007-10|0.30%
2007-11|0.80%
2007-12|0.30%
2008-01|0.30%
2008-02|0.30%
2008-03|0.30%
2008-04|0.30%
2008-05|0.50%
2008-06|0.70%
2008-07|0.40%
2008-08|0.00%
2008-09|0.00%
2008-10|-0.80%
2008-11|-1.20%
2008-12|-0.90%
2009-01|0.20%
2009-02|0.30%
2009-03|0.10%
2009-04|0.00%
2009-05|0.30%
2009-06|0.60%
2009-07|0.00%
2009-08|0.40%
2009-09|0.20%
2009-10|0.20%
2009-11|0.40%
2009-12|0.20%
2010-01|0.30%
2010-02|0.10%
2010-03|0.10%
2010-04|0.20%
2010-05|-0.20%
2010-06|0.10%
2010-07|0.20%
2010-08|0.20%
2010-09|0.20%
2010-10|0.30%
2010-11|0.20%
2010-12|0.40%
2011-01|0.30%
2011-02|0.40%
2011-03|0.50%
2011-04|0.40%
2011-05|0.10%
2011-06|-0.10%
2011-07|0.20%
2011-08|0.20%
2011-09|0.30%
2011-10|0.00%
2011-11|0.10%
2011-12|0.20%
2012-01|0.30%
2012-02|0.40%
2012-03|0.30%
2012-04|0.10%
2012-05|-0.20%
2012-06|-0.10%
2012-07|0.20%
2012-08|0.50%
2012-09|0.50%
2012-10|0.10%
2012-11|-0.20%
2012-12|0.00%
2013-01|0.10%
2013-02|0.50%
2013-03|0.10%
2013-04|-0.20%
2013-05|0.20%
2013-06|0.30%
2013-07|0.20%
2013-08|0.20%
2013-09|0.20%
2013-10|0.10%
2013-11|0.10%
2013-12|0.30%
2014-01|0.10%
2014-02|0.10%
2014-03|0.10%
2014-04|0.30%
2014-05|0.20%
2014-06|0.30%
2014-07|0.10%
2014-08|-0.20%
2014-09|0.10%
2014-10|0.00%
2014-11|-0.30%
2014-12|-0.40%
2015-01|-0.70%
2015-02|0.20%
2015-03|0.20%
2015-04|0.10%
2015-05|0.40%
2015-06|0.30%
2015-07|0.10%
2015-08|-0.10%
2015-09|-0.20%
2015-10|0.20%
2015-11|0.00%
2015-12|-0.10%
2016-01|0.00%
2016-02|-0.20%
2016-03|0.10%
2016-04|0.40%
2016-05|0.20%
2016-06|0.20%
2016-07|0.00%
2016-08|0.20%
2016-09|0.30%
2016-10|0.40%
2016-11|0.20%
2016-12|0.30%
2017-01|0.60%
2017-02|0.10%
2017-03|-0.30%
2017-04|0.20%
2017-05|-0.10%
2017-06|0.00%
2017-07|0.10%
2017-08|0.40%
2017-09|0.50%
2017-10|0.10%
2017-11|0.40%
2017-12|0.10%
2018-01|0.50%
2018-02|0.20%
2018-03|-0.10%
2018-04|0.20%
2018-05|0.20%
2018-06|0.10%
2018-07|0.20%
2018-08|0.20%
2018-09|0.10%
2018-10|0.30%
2018-11|0.00%
2018-12|-0.10%
2019-01|0.00%
2019-02|0.20%
2019-03|0.40%
2019-04|0.30%
2019-05|0.10%
2019-06|0.10%
2019-07|0.30%
2019-08|0.10%
2019-09|0.00%
2019-10|0.40%
2019-11|0.30%
2019-12|0.20%
2020-01|0.10%
2020-02|0.10%
2020-03|-0.40%
2020-04|-0.80%
2020-05|-0.10%
