Date|Change
1990-01-01|0.052
1990-02-01|0.053
1990-03-01|0.052
1990-04-01|0.047
1990-05-01|0.044
1990-06-01|0.047
1990-07-01|0.048
1990-08-01|0.056
1990-09-01|0.062
1990-10-01|0.063
1990-11-01|0.063
1990-12-01|0.061
1991-01-01|0.057
1991-02-01|0.053
1991-03-01|0.049
1991-04-01|0.049
1991-05-01|0.05
1991-06-01|0.047
1991-07-01|0.044
1991-08-01|0.038
1991-09-01|0.034
1991-10-01|0.029
1991-11-01|0.03
1991-12-01|0.031
1992-01-01|0.026
1992-02-01|0.028
1992-03-01|0.032
1992-04-01|0.032
1992-05-01|0.03
1992-06-01|0.031
1992-07-01|0.032
1992-08-01|0.031
1992-09-01|0.03
1992-10-01|0.032
1992-11-01|0.03
1992-12-01|0.029
1993-01-01|0.033
1993-02-01|0.032
1993-03-01|0.031
1993-04-01|0.032
1993-05-01|0.032
1993-06-01|0.03
1993-07-01|0.028
1993-08-01|0.028
1993-09-01|0.027
1993-10-01|0.028
1993-11-01|0.027
1993-12-01|0.027
1994-01-01|0.025
1994-02-01|0.025
1994-03-01|0.025
1994-04-01|0.024
1994-05-01|0.023
1994-06-01|0.025
1994-07-01|0.028
1994-08-01|0.029
1994-09-01|0.03
1994-10-01|0.026
1994-11-01|0.027
1994-12-01|0.027
1995-01-01|0.028
1995-02-01|0.029
1995-03-01|0.029
1995-04-01|0.031
1995-05-01|0.032
1995-06-01|0.03
1995-07-01|0.028
1995-08-01|0.026
1995-09-01|0.025
1995-10-01|0.028
1995-11-01|0.026
1995-12-01|0.025
1996-01-01|0.027
1996-02-01|0.027
1996-03-01|0.028
1996-04-01|0.029
1996-05-01|0.029
1996-06-01|0.028
1996-07-01|0.03
1996-08-01|0.029
1996-09-01|0.03
1996-10-01|0.03
1996-11-01|0.033
1996-12-01|0.033
1997-01-01|0.03
1997-02-01|0.03
1997-03-01|0.028
1997-04-01|0.025
1997-05-01|0.022
1997-06-01|0.023
1997-07-01|0.022
1997-08-01|0.022
1997-09-01|0.022
1997-10-01|0.021
1997-11-01|0.018
1997-12-01|0.017
1998-01-01|0.016
1998-02-01|0.014
1998-03-01|0.014
1998-04-01|0.014
1998-05-01|0.017
1998-06-01|0.017
1998-07-01|0.017
1998-08-01|0.016
1998-09-01|0.015
