Date|Close|Change
1990-01-02|95.2|1.35%
1990-01-03|95.22|0.02%
1990-01-04|93.16|-2.16%
1990-01-05|93.62|0.49%
1990-01-08|92.8|-0.88%
1990-01-09|93.1|0.32%
1990-01-10|93.26|0.17%
1990-01-11|93.1|-0.17%
1990-01-12|93.1|0.00%
1990-01-15|93.56|0.49%
1990-01-16|93.52|-0.04%
1990-01-17|93.28|-0.26%
1990-01-18|94.41|1.21%
1990-01-19|94.38|-0.03%
1990-01-22|94.92|0.57%
1990-01-23|93.66|-1.33%
1990-01-24|93.44|-0.23%
1990-01-25|93.01|-0.46%
1990-01-26|92.86|-0.16%
1990-01-29|92.41|-0.48%
1990-01-30|93.48|1.16%
1990-01-31|92.82|-0.71%
1990-02-01|92.46|-0.39%
1990-02-02|92.71|0.27%
1990-02-05|91.71|-1.08%
1990-02-06|91.76|0.05%
1990-02-07|92.05|0.32%
1990-02-08|92.27|0.24%
1990-02-09|92.19|-0.09%
1990-02-12|92.38|0.21%
1990-02-13|92.59|0.23%
1990-02-14|92.38|-0.23%
1990-02-15|93.14|0.82%
1990-02-16|92.32|-0.88%
1990-02-20|91.95|-0.40%
1990-02-21|91.98|0.03%
1990-02-22|92.21|0.25%
1990-02-23|92.33|0.13%
1990-02-26|93.23|0.97%
1990-02-27|92.94|-0.31%
1990-02-28|93.49|0.59%
1990-03-01|94.24|0.80%
1990-03-02|94.24|0.00%
1990-03-05|93.4|-0.89%
1990-03-06|93.77|0.40%
1990-03-07|93.77|0.00%
1990-03-08|93.61|-0.17%
1990-03-09|93.93|0.34%
1990-03-12|94.44|0.54%
1990-03-13|94.28|-0.17%
1990-03-14|94.15|-0.14%
1990-03-15|93.75|-0.42%
1990-03-16|93.79|0.04%
1990-03-19|93.43|-0.38%
1990-03-20|94.38|1.02%
1990-03-21|95.23|0.90%
1990-03-22|94.86|-0.39%
1990-03-23|95.21|0.37%
1990-03-26|94.94|-0.28%
1990-03-27|95.17|0.24%
1990-03-28|95.19|0.02%
1990-03-29|94.24|-1.00%
1990-03-30|94.2|-0.04%
1990-04-02|94.65|0.48%
1990-04-03|94.55|-0.11%
1990-04-04|94.46|-0.10%
1990-04-05|94.37|-0.10%
1990-04-06|94.12|-0.26%
1990-04-09|94.18|0.06%
1990-04-10|93.28|-0.96%
1990-04-11|93.23|-0.05%
1990-04-12|93.19|-0.04%
1990-04-16|93.62|0.46%
1990-04-17|93.58|-0.04%
1990-04-18|93.1|-0.51%
1990-04-19|93.33|0.25%
1990-04-20|93.68|0.38%
1990-04-23|94.16|0.51%
1990-04-24|94.09|-0.07%
1990-04-25|93.37|-0.77%
1990-04-26|93.44|0.07%
1990-04-27|93.22|-0.24%
1990-04-30|93.28|0.06%
1990-05-01|93.32|0.04%
1990-05-02|93.48|0.17%
1990-05-03|93.32|-0.17%
1990-05-04|92.49|-0.89%
1990-05-07|92.21|-0.30%
1990-05-08|92.16|-0.05%
1990-05-09|91.31|-0.92%
1990-05-10|91.3|-0.01%
1990-05-11|91.37|0.08%
1990-05-14|91.3|-0.08%
1990-05-15|91.21|-0.10%
1990-05-16|91.37|0.18%
1990-05-17|91.59|0.24%
1990-05-18|91.45|-0.15%
1990-05-21|92.07|0.68%
1990-05-22|92.16|0.10%
1990-05-23|92.35|0.21%
1990-05-24|92.52|0.18%
1990-05-25|92.48|-0.04%
1990-05-29|92.13|-0.38%
1990-05-30|92.46|0.36%
1990-05-31|93.11|0.70%
1990-06-01|93.12|0.01%
1990-06-04|93|-0.13%
1990-06-05|92.65|-0.38%
1990-06-06|92.65|0.00%
1990-06-07|92.81|0.17%
1990-06-08|93.15|0.37%
1990-06-11|92.93|-0.24%
1990-06-12|92.99|0.06%
1990-06-13|92.52|-0.51%
1990-06-14|92.87|0.38%
1990-06-15|92.53|-0.37%
1990-06-18|92.12|-0.44%
1990-06-19|91.81|-0.34%
1990-06-20|92.67|0.94%
1990-06-21|92.73|0.06%
1990-06-22|92.59|-0.15%
1990-06-25|92.74|0.16%
1990-06-26|92|-0.80%
1990-06-27|91.99|-0.01%
1990-06-28|92.18|0.21%
1990-06-29|91.64|-0.59%
1990-07-02|90.98|-0.72%
1990-07-03|90.86|-0.13%
1990-07-05|90.97|0.12%
1990-07-06|90.93|-0.04%
1990-07-09|90.78|-0.16%
1990-07-10|89.99|-0.87%
1990-07-11|90.45|0.51%
1990-07-12|89.93|-0.57%
1990-07-13|90.48|0.61%
1990-07-16|90.74|0.29%
1990-07-17|90.14|-0.66%
1990-07-18|90.26|0.13%
1990-07-19|90.05|-0.23%
1990-07-20|90.12|0.08%
1990-07-23|89.17|-1.05%
1990-07-24|89.22|0.06%
1990-07-25|89.52|0.34%
1990-07-26|89.52|0.00%
1990-07-27|88.71|-0.90%
1990-07-30|88.33|-0.43%
1990-07-31|87.43|-1.02%
1990-08-01|87.68|0.29%
1990-08-02|88.05|0.42%
1990-08-03|88.11|0.07%
1990-08-06|87.38|-0.83%
1990-08-07|87.6|0.25%
1990-08-08|87.87|0.31%
1990-08-09|88.07|0.23%
1990-08-10|87.79|-0.32%
1990-08-13|87.27|-0.59%
1990-08-14|86.63|-0.73%
1990-08-15|86.53|-0.12%
1990-08-16|86.03|-0.58%
1990-08-17|85.79|-0.28%
1990-08-20|86.45|0.77%
1990-08-21|86.44|-0.01%
1990-08-22|85.99|-0.52%
1990-08-23|85.25|-0.86%
1990-08-24|85.99|0.87%
1990-08-27|85.43|-0.65%
1990-08-28|85.58|0.18%
1990-08-29|85.77|0.22%
1990-08-30|86.18|0.48%
1990-08-31|86.85|0.78%
1990-09-04|86.94|0.10%
1990-09-05|85.83|-1.28%
1990-09-06|85.61|-0.26%
1990-09-07|86.14|0.62%
1990-09-10|86.92|0.91%
1990-09-11|86.99|0.08%
1990-09-12|86.94|-0.06%
1990-09-13|85.78|-1.33%
1990-09-14|85.72|-0.07%
1990-09-17|84.86|-1.00%
1990-09-18|85.25|0.46%
1990-09-19|86.64|1.63%
1990-09-20|86.83|0.22%
1990-09-21|86.98|0.17%
1990-09-24|85.96|-1.17%
1990-09-25|86.57|0.71%
1990-09-26|86.34|-0.27%
1990-09-27|86.13|-0.24%
1990-09-28|86.52|0.45%
1990-10-01|85.99|-0.61%
1990-10-02|85.69|-0.35%
1990-10-03|85.16|-0.62%
1990-10-04|84.7|-0.54%
1990-10-05|84.73|0.04%
1990-10-08|83.96|-0.91%
1990-10-09|83.81|-0.18%
1990-10-10|83.7|-0.13%
1990-10-11|83.13|-0.68%
1990-10-12|83.56|0.52%
1990-10-15|83.67|0.13%
1990-10-16|82.96|-0.85%
1990-10-17|83.02|0.07%
1990-10-18|82.26|-0.92%
1990-10-19|82.71|0.55%
1990-10-22|83.53|0.99%
1990-10-23|83.54|0.01%
1990-10-24|82.92|-0.74%
1990-10-25|83.34|0.51%
1990-10-26|83.37|0.04%
1990-10-29|83.64|0.32%
1990-10-30|83.26|-0.45%
1990-10-31|83.56|0.36%
1990-11-01|83.08|-0.57%
1990-11-02|82.53|-0.66%
1990-11-05|81.98|-0.67%
1990-11-06|82.4|0.51%
1990-11-07|82.33|-0.08%
1990-11-08|82.42|0.11%
1990-11-09|82.42|0.00%
1990-11-12|81.98|-0.53%
1990-11-13|82.13|0.18%
1990-11-14|81.84|-0.35%
1990-11-15|82.11|0.33%
1990-11-16|81.84|-0.33%
1990-11-19|81.74|-0.12%
1990-11-20|81.86|0.15%
1990-11-21|81.7|-0.20%
1990-11-23|82.07|0.45%
1990-11-26|82.24|0.21%
1990-11-27|81.82|-0.51%
1990-11-28|82.33|0.62%
1990-11-29|83.48|1.40%
1990-11-30|83.05|-0.52%
1990-12-03|84.01|1.16%
1990-12-04|83.49|-0.62%
1990-12-05|83.33|-0.19%
1990-12-06|82.87|-0.55%
1990-12-07|81.98|-1.07%
1990-12-10|82.14|0.20%
1990-12-11|82.5|0.44%
1990-12-12|82.18|-0.39%
1990-12-13|82.34|0.19%
1990-12-14|82.75|0.50%
1990-12-17|82.8|0.06%
1990-12-18|82.7|-0.12%
1990-12-19|83.42|0.87%
1990-12-20|84.78|1.63%
1990-12-21|85.57|0.93%
1990-12-26|85.86|0.34%
1990-12-27|85.46|-0.47%
1990-12-28|84.03|-1.67%
1990-12-31|83.89|-0.17%
1991-01-02|83.56|-0.39%
1991-01-03|83.55|-0.01%
1991-01-04|84.19|0.77%
1991-01-07|85.53|1.59%
1991-01-08|85.79|0.30%
1991-01-09|85.62|-0.20%
1991-01-10|85.09|-0.62%
1991-01-11|85.03|-0.07%
1991-01-14|85.7|0.79%
1991-01-15|85.54|-0.19%
1991-01-16|85.78|0.28%
1991-01-17|83.88|-2.21%
1991-01-18|83.31|-0.68%
1991-01-21|82.91|-0.48%
1991-01-22|83.45|0.65%
1991-01-23|82.79|-0.79%
1991-01-24|82.96|0.21%
1991-01-25|83.27|0.37%
1991-01-28|82.94|-0.40%
1991-01-29|83.27|0.40%
1991-01-30|82.97|-0.36%
1991-01-31|82.31|-0.80%
1991-02-01|82.05|-0.32%
1991-02-04|81.8|-0.30%
1991-02-05|81.37|-0.53%
1991-02-06|80.84|-0.65%
1991-02-07|81.22|0.47%
1991-02-08|81.26|0.05%
1991-02-11|80.78|-0.59%
1991-02-12|81.05|0.33%
1991-02-13|81.7|0.80%
1991-02-14|81.73|0.04%
1991-02-15|82.28|0.67%
1991-02-19|82.98|0.85%
1991-02-20|82.99|0.01%
1991-02-21|82.67|-0.39%
1991-02-22|83.52|1.03%
1991-02-25|84.21|0.83%
1991-02-26|84.17|-0.05%
1991-02-27|84.13|-0.05%
1991-02-28|84.35|0.26%
1991-03-01|85.01|0.78%
1991-03-04|84.81|-0.24%
1991-03-05|85.33|0.61%
1991-03-06|85.09|-0.28%
1991-03-07|85.39|0.35%
1991-03-08|86.42|1.21%
1991-03-11|87.03|0.71%
1991-03-12|86.5|-0.61%
1991-03-13|86.3|-0.23%
1991-03-14|86.66|0.42%
1991-03-15|87.94|1.48%
1991-03-18|88.88|1.07%
1991-03-19|89.38|0.56%
1991-03-20|90|0.69%
1991-03-21|89.71|-0.32%
1991-03-22|90.25|0.60%
1991-03-25|92.17|2.13%
1991-03-26|92.12|-0.05%
1991-03-27|93.11|1.07%
1991-03-28|92.99|-0.13%
1991-04-01|91.57|-1.53%
1991-04-02|90.91|-0.72%
1991-04-03|91.26|0.38%
1991-04-04|90.7|-0.61%
1991-04-05|91.38|0.75%
1991-04-08|91.81|0.47%
1991-04-09|90.39|-1.55%
1991-04-10|91.4|1.12%
1991-04-11|90.75|-0.71%
1991-04-12|91.32|0.63%
1991-04-15|90.24|-1.18%
1991-04-16|90.26|0.02%
1991-04-17|90.44|0.20%
1991-04-18|92.17|1.91%
1991-04-19|93.55|1.50%
1991-04-22|94.61|1.13%
1991-04-23|93.53|-1.14%
1991-04-24|93.95|0.45%
1991-04-25|93.94|-0.01%
