Date|Value
2001-04|4.00%
2001-05|3.80%
2001-06|3.80%
2001-07|3.80%
2001-08|3.80%
2001-09|3.60%
2001-10|3.70%
2001-11|3.70%
2001-12|3.70%
2002-01|3.70%
2002-02|3.50%
2002-03|3.40%
2002-04|3.30%
2002-05|3.30%
2002-06|3.10%
2002-07|3.10%
2002-08|3.30%
2002-09|3.00%
2002-10|3.10%
2002-11|3.10%
2002-12|3.10%
2003-01|3.40%
2003-02|3.30%
2003-03|3.30%
2003-04|3.40%
2003-05|3.50%
2003-06|3.60%
2003-07|3.60%
2003-08|3.70%
2003-09|3.60%
2003-10|3.80%
2003-11|3.90%
2003-12|3.80%
2004-01|3.60%
2004-02|3.60%
2004-03|3.60%
2004-04|3.60%
2004-05|3.70%
2004-06|3.50%
2004-07|3.80%
2004-08|3.80%
2004-09|3.70%
2004-10|3.70%
2004-11|3.80%
2004-12|3.80%
2005-01|3.90%
2005-02|3.70%
2005-03|3.70%
2005-04|3.70%
2005-05|3.70%
2005-06|3.80%
2005-07|3.80%
2005-08|3.70%
2005-09|4.00%
2005-10|3.90%
2005-11|3.60%
2005-12|3.50%
2006-01|3.40%
2006-02|3.50%
2006-03|3.50%
2006-04|3.40%
2006-05|3.30%
2006-06|3.50%
2006-07|3.50%
2006-08|3.50%
2006-09|3.50%
2006-10|3.50%
2006-11|3.40%
2006-12|3.30%
2007-01|3.30%
2007-02|3.20%
2007-03|3.20%
2007-04|3.30%
2007-05|3.30%
2007-06|3.20%
2007-07|3.30%
2007-08|3.20%
2007-09|3.20%
2007-10|3.20%
2007-11|3.30%
2007-12|3.10%
2008-01|3.00%
2008-02|3.00%
2008-03|3.10%
2008-04|3.10%
2008-05|3.20%
2008-06|3.20%
2008-07|3.20%
2008-08|3.30%
2008-09|3.20%
2008-10|3.20%
2008-11|3.30%
2008-12|3.40%
2009-01|3.30%
2009-02|3.40%
2009-03|3.60%
2009-04|3.70%
2009-05|3.90%
2009-06|3.90%
2009-07|3.80%
2009-08|3.80%
2009-09|3.60%
2009-10|3.50%
2009-11|3.60%
2009-12|3.60%
2010-01|4.70%
2010-02|4.20%
2010-03|3.70%
2010-04|3.60%
2010-05|3.30%
2010-06|3.20%
2010-07|3.40%
2010-08|3.70%
2010-09|3.40%
2010-10|3.70%
2010-11|3.60%
2010-12|3.40%
2011-01|3.70%
2011-02|3.60%
2011-03|4.00%
2011-04|3.80%
2011-05|3.80%
2011-06|3.30%
2011-07|3.40%
2011-08|3.40%
2011-09|3.10%
2011-10|3.30%
2011-11|3.20%
2011-12|3.20%
2012-01|3.20%
2012-02|3.50%
2012-03|3.50%
2012-04|3.50%
2012-05|3.50%
2012-06|3.20%
2012-07|3.30%
2012-08|3.20%
2012-09|3.20%
2012-10|3.10%
2012-11|3.10%
2012-12|3.00%
2013-01|3.00%
2013-02|3.20%
2013-03|3.20%
2013-04|3.20%
2013-05|3.10%
2013-06|3.20%
2013-07|3.20%
2013-08|3.20%
2013-09|3.10%
2013-10|3.00%
2013-11|3.00%
2013-12|2.90%
2014-01|3.00%
2014-02|3.20%
2014-03|3.70%
2014-04|3.40%
2014-05|3.60%
2014-06|3.70%
2014-07|3.50%
2014-08|3.40%
2014-09|3.50%
2014-10|3.50%
2014-11|3.40%
2014-12|3.50%
2015-01|3.40%
2015-02|3.90%
2015-03|3.70%
2015-04|3.70%
2015-05|3.90%
2015-06|3.90%
2015-07|3.70%
2015-08|3.60%
2015-09|3.50%
2015-10|3.40%
2015-11|3.40%
2015-12|3.40%
2016-01|3.50%
2016-02|4.10%
2016-03|3.80%
2016-04|3.70%
2016-05|3.70%
2016-06|3.60%
2016-07|3.60%
2016-08|3.60%
2016-09|4.00%
2016-10|3.70%
2016-11|3.60%
2016-12|3.40%
2017-01|3.60%
2017-02|4.00%
2017-03|3.70%
2017-04|4.00%
2017-05|3.60%
2017-06|3.80%
2017-07|3.60%
2017-08|3.80%
2017-09|3.70%
2017-10|3.60%
2017-11|3.70%
2017-12|3.60%
2018-01|3.60%
2018-02|3.60%
2018-03|4.00%
2018-04|3.80%
2018-05|4.00%
2018-06|3.70%
2018-07|3.80%
2018-08|4.20%
2018-09|4.00%
2018-10|3.90%
2018-11|3.80%
2018-12|3.80%
2019-01|4.40%
2019-02|3.70%
2019-03|3.80%
2019-04|4.10%
2019-05|4.00%
2019-06|4.00%
2019-07|4.00%
2019-08|3.10%
2019-09|3.40%
2019-10|3.50%
2019-11|3.60%
2019-12|3.80%
2020-01|4.00%
2020-02|3.30%
2020-03|3.80%
2020-04|3.80%
2020-05|4.50%
2020-06|4.30%
2020-07|4.20%
2020-08|3.20%
2020-09|3.90%
2020-10|4.20%
2020-11|4.10%
2020-12|4.60%
2021-01|5.40%
2021-02|4.00%
2021-03|3.90%
2021-04|3.70%
2021-05|3.80%
2021-06|3.70%
2021-07|3.30%
2021-08|2.80%
2021-09|3.00%
2021-10|3.20%
2021-11|3.10%
2021-12|3.80%
2022-01|3.60%
2022-02|2.70%
2022-03|2.70%
2022-04|2.70%
2022-05|2.80%
2022-06|2.90%
2022-07|2.90%
2022-08|2.50%
2022-09|2.80%
2022-10|2.80%
2022-11|2.90%
2022-12|3.30%
2023-01|2.90%
2023-02|2.60%
