Date|Close|Open|High|Low|Volume|Change|Value
1990-01-03|908.59|908.59|908.59|908.59|6.74M|-0.12%|0
1990-01-04|928.82|928.82|928.82|928.82|18.09M|2.23%|1
1990-01-05|915.11|915.11|915.11|915.11|22.18M|-1.48%|0
1990-01-06|912.86|912.86|912.86|912.86|12.52M|-0.25%|0
1990-01-08|919.46|919.46|919.46|919.46|17.58M|0.72%|1
1990-01-09|920.21|920.21|920.21|920.21|18.65M|0.08%|1
1990-01-10|911.48|911.48|911.48|911.48|15.28M|-0.95%|0
1990-01-11|903.27|903.27|903.27|903.27|12.65M|-0.90%|0
1990-01-12|903.11|903.11|903.11|903.11|11.63M|-0.02%|0
1990-01-13|893.47|893.47|893.47|893.47|7.39M|-1.07%|0
1990-01-15|883.04|883.04|883.04|883.04|8.86M|-1.17%|0
1990-01-16|883.43|883.43|883.43|883.43|10.38M|0.04%|1
1990-01-17|874.41|874.41|874.41|874.41|6.93M|-1.02%|0
1990-01-18|874.81|874.81|874.81|874.81|9.07M|0.05%|1
1990-01-19|868.2|868.2|868.2|868.2|7.79M|-0.76%|0
1990-01-20|872.97|872.97|872.97|872.97|6.36M|0.55%|1
1990-01-22|898.89|898.89|898.89|898.89|17.41M|2.97%|1
1990-01-23|890.52|890.52|890.52|890.52|17.49M|-0.93%|0
1990-01-24|903.58|903.58|903.58|903.58|20.48M|1.47%|1
1990-01-25|905.75|905.75|905.75|905.75|23.61M|0.24%|1
1990-01-29|897.32|897.32|897.32|897.32|12.27M|-0.93%|0
1990-01-30|888.47|888.47|888.47|888.47|15.22M|-0.99%|0
1990-01-31|896.16|896.16|896.16|896.16|18.17M|0.87%|1
1990-02-01|885.83|885.83|885.83|885.83|12.31M|-1.15%|0
1990-02-02|878.15|878.15|878.15|878.15|11.02M|-0.87%|0
1990-02-03|874.92|874.92|874.92|874.92|6.35M|-0.37%|0
1990-02-05|877.45|877.45|877.45|877.45|7.95M|0.29%|1
1990-02-06|886.86|886.86|886.86|886.86|11.47M|1.07%|1
1990-02-07|880.39|880.39|880.39|880.39|11.57M|-0.73%|0
1990-02-08|882.52|882.52|882.52|882.52|12.41M|0.24%|1
1990-02-09|879.1|879.1|879.1|879.1|12.78M|-0.39%|0
1990-02-10|873.59|873.59|873.59|873.59|5.79M|-0.63%|0
1990-02-12|867.05|867.05|867.05|867.05|9.14M|-0.75%|0
1990-02-13|866.57|866.57|866.57|866.57|10.93M|-0.06%|0
1990-02-14|872.63|872.63|872.63|872.63|8.41M|0.70%|1
1990-02-15|874.09|874.09|874.09|874.09|11.46M|0.17%|1
1990-02-16|872.5|872.5|872.5|872.5|10.87M|-0.18%|0
1990-02-17|866.93|866.93|866.93|866.93|6.46M|-0.64%|0
