Date|Close|Open|High|Low|Volume|Change
2011-11-07|1,617.32|1,629.33|1,629.33|1,612.42|50.63K|-0.64%
2011-11-08|1,599.06|1,622.78|1,623.15|1,596.07|50.30K|-1.13%
2011-11-09|1,606.06|1,619.19|1,623.35|1,598.06|56.83K|0.44%
2011-11-10|1,518.35|1,565.36|1,567.21|1,518.35|86.82K|-5.46%
2011-11-11|1,566.95|1,542.86|1,567.73|1,527.94|53.20K|3.20%
2011-11-14|1,600.70|1,588.95|1,607.54|1,588.95|47.58K|2.15%
2011-11-15|1,587.77|1,587.27|1,598.00|1,579.42|40.89K|-0.81%
2011-11-16|1,560.63|1,596.99|1,610.66|1,556.68|57.85K|-1.71%
2011-11-17|1,576.70|1,567.16|1,579.10|1,541.44|52.94K|1.03%
2011-11-18|1,543.26|1,544.41|1,555.16|1,538.65|47.12K|-2.12%
2011-11-21|1,524.40|1,536.30|1,536.30|1,516.62|39.00K|-1.22%
2011-11-22|1,533.09|1,507.08|1,538.38|1,506.32|39.19K|0.57%
2011-11-23|1,491.98|1,526.26|1,526.26|1,490.74|47.29K|-2.68%
2011-11-24|1,505.04|1,485.86|1,510.76|1,481.49|39.30K|0.88%
2011-11-25|1,491.90|1,490.05|1,501.87|1,483.65|40.45K|-0.87%
2011-11-28|1,530.77|1,519.27|1,532.47|1,512.41|46.17K|2.61%
2011-11-29|1,570.19|1,543.26|1,572.18|1,538.12|64.59K|2.58%
2011-11-30|1,560.03|1,561.19|1,569.60|1,554.07|43.30K|-0.65%
2011-12-01|1,633.36|1,620.30|1,641.81|1,617.67|82.70K|4.70%
2011-12-02|1,627.89|1,630.01|1,635.14|1,620.72|47.95K|-0.33%
2011-12-05|1,634.92|1,638.86|1,640.71|1,624.57|35.29K|0.43%
2011-12-06|1,618.66|1,627.36|1,633.90|1,607.72|37.34K|-0.99%
2011-12-07|1,630.25|1,628.37|1,635.03|1,619.18|50.29K|0.72%
2011-12-08|1,621.41|1,620.61|1,635.06|1,609.40|62.06K|-0.54%
2011-12-09|1,584.98|1,593.91|1,604.19|1,583.19|47.99K|-2.25%
2011-12-12|1,609.57|1,609.95|1,612.20|1,598.61|43.37K|1.55%
2011-12-13|1,575.00|1,588.89|1,591.92|1,575.00|45.60K|-2.15%
2011-12-14|1,566.40|1,562.83|1,575.75|1,562.61|34.47K|-0.55%
2011-12-15|1,531.17|1,545.76|1,552.38|1,530.22|46.62K|-2.25%
2011-12-16|1,555.64|1,539.47|1,557.27|1,536.23|40.07K|1.60%
2011-12-19|1,505.58|1,545.13|1,545.35|1,479.96|63.56K|-3.22%
2011-12-20|1,517.44|1,518.23|1,522.30|1,508.74|37.76K|0.79%
2011-12-21|1,569.87|1,558.31|1,571.69|1,552.33|49.65K|3.46%
2011-12-22|1,568.73|1,562.74|1,568.86|1,557.32|27.02K|-0.07%
2011-12-23|1,586.89|1,580.82|1,592.32|1,579.37|38.24K|1.16%
2011-12-26|1,576.03|1,591.43|1,592.62|1,572.81|24.31K|-0.68%
2011-12-27|1,565.16|1,576.62|1,584.95|1,538.34|37.93K|-0.69%
2011-12-28|1,545.85|1,555.51|1,555.51|1,541.90|28.97K|-1.23%
2011-12-29|1,544.82|1,538.21|1,555.16|1,532.62|33.34K|-0.07%
2012-01-02|1,551.69|1,552.65|1,559.29|1,539.17|35.62K|0.44%
2012-01-03|1,599.55|1,570.69|1,599.55|1,570.69|47.18K|3.08%
2012-01-04|1,588.13|1,606.86|1,608.34|1,587.28|49.06K|-0.71%
2012-01-05|1,582.18|1,589.87|1,595.96|1,580.51|41.99K|-0.37%
