Date|Close|Open|High|Low|Volume|Change
2014-04-28|104|104|104|104||0.00%
2014-04-29|104|104|104|104||0.00%
2014-04-30|104|104|104|104||0.00%
2014-05-01|104|104|104|104||0.00%
2014-05-02|104|104|104|104||0.00%
2014-05-05|104|104|104|104||0.00%
2014-05-06|104|104|104|104||0.00%
2014-05-07|104|104|104|104||0.00%
2014-05-08|104|104|104|104||0.00%
2014-05-09|104|104|104|104||0.00%
2014-05-12|104|104|104|104||0.00%
2014-05-13|104|104|104|104||0.00%
2014-05-14|104|104|104|104||0.00%
2014-05-15|104|104|104|104||0.00%
2014-05-16|104|104|104|104||0.00%
2014-05-19|104|104|104|104||0.00%
2014-05-20|104|104|104|104||0.00%
2014-05-21|104|104|104|104||0.00%
2014-05-22|104|104|104|104||0.00%
2014-05-23|104|104|104|104||0.00%
2014-05-27|104|104|104|104||0.00%
2014-05-28|104|104|104|104||0.00%
2014-05-29|104|104|104|104||0.00%
2014-06-02|104|104|104|104||0.00%
2014-06-03|104|104|104|104||0.00%
2014-06-04|104|104|104|104||0.00%
2014-06-05|104|104|104|104||0.00%
2014-06-06|104|104|104|104||0.00%
2014-06-09|104|104|104|104||0.00%
2014-06-10|104|104|104|104||0.00%
2014-06-11|104|104|104|104||0.00%
2014-06-12|104|104|104|104||0.00%
2014-06-13|104|104|104|104||0.00%
2014-06-16|104|104|104|104||0.00%
2014-06-17|104|104|104|104||0.00%
2014-06-18|104|104|104|104||0.00%
2014-06-19|104|104|104|104||0.00%
2014-06-20|104|104|104|104||0.00%
2014-06-23|104|104|104|104||0.00%
2014-06-24|104|104|104|104||0.00%
2014-06-25|104|104|104|104||0.00%
2014-06-26|104|104|104|104||0.00%
2014-06-27|104|104|104|104||0.00%
2014-07-01|105.2|105.2|105.2|105.2||1.15%
2014-07-02|105.2|105.2|105.2|105.2||0.00%
2014-07-03|105.2|105.2|105.2|105.2||0.00%
2014-07-07|105.2|105.2|105.2|105.2||0.00%
2014-07-08|105.2|105.2|105.2|105.2||0.00%
2014-07-09|106.57|106.57|106.57|106.57||1.30%
2014-07-10|106.86|106.86|106.86|106.86||0.27%
2014-07-11|105.79|105.79|105.79|105.79||-1.00%
2014-07-14|106.19|106.19|106.19|106.19||0.38%
2014-07-15|105.89|105.89|105.89|105.89||-0.28%
2014-07-16|105.94|105.94|105.94|105.94||0.05%
2014-07-17|106.36|106.36|106.36|106.36||0.40%
2014-07-18|105.97|105.97|105.97|105.97||-0.37%
2014-07-21|106.22|106.22|106.22|106.22||0.24%
2014-07-22|106.24|106.24|106.24|106.24||0.02%
2014-07-23|106.36|106.36|106.36|106.36||0.11%
2014-07-24|106.16|106.16|106.16|106.16||-0.19%
2014-07-25|106.41|106.41|106.41|106.41||0.24%
2014-07-28|106.18|106.18|106.18|106.18||-0.22%
2014-07-29|106.3|106.3|106.3|106.3||0.11%
2014-07-30|106.2|106.2|106.2|106.2||-0.09%
2014-07-31|106.15|106.15|106.15|106.15||-0.05%
2014-08-01|103.44|103.44|103.44|103.44||-2.55%
2014-08-04|104.25|104.25|104.25|104.25||0.78%
2014-08-05|103.08|103.08|103.08|103.08||-1.12%
2014-08-06|103.06|103.06|103.06|103.06||-0.02%
2014-08-07|103.92|103.92|103.92|103.92||0.83%
2014-08-08|103.61|103.61|103.61|103.61||-0.30%
2014-08-11|103.55|103.55|103.55|103.55||-0.06%
2014-08-12|102.83|102.83|102.83|102.83||-0.70%
2014-08-13|103.58|103.58|103.58|103.58||0.73%
2014-08-14|101.78|101.78|101.78|101.78||-1.74%
2014-08-15|102.44|102.44|102.44|102.44||0.65%
2014-08-18|101.61|101.61|101.61|101.61||-0.81%
2014-08-19|101.59|101.59|101.59|101.59||-0.02%
2014-08-20|101.75|101.75|101.75|101.75||0.16%
2014-08-21|101.78|101.78|101.78|101.78||0.03%
2014-08-22|101.57|101.57|101.57|101.57||-0.21%
2014-08-25|101.66|101.66|101.66|101.66||0.09%
2014-08-26|101.67|101.67|101.67|101.67||0.01%
2014-08-27|101.79|101.79|101.79|101.79||0.12%
2014-08-28|101.76|101.76|101.76|101.76||-0.03%
2014-08-29|101.73|101.73|101.73|101.73||-0.03%
2014-09-02|98.68|98.68|98.68|98.68||-3.00%
2014-09-03|100.93|100.93|100.93|100.93||2.28%
2014-09-04|99.74|99.74|99.74|99.74||-1.18%
2014-09-05|98.81|98.81|98.81|98.81||-0.93%
2014-09-08|98.44|98.44|98.44|98.44||-0.37%
2014-09-09|97.99|97.99|97.99|97.99||-0.46%
2014-09-10|97.22|97.22|97.22|97.22||-0.79%
2014-09-11|97.36|97.36|97.36|97.36||0.14%
2014-09-12|97.01|97.01|97.01|97.01||-0.36%
2014-09-15|97.07|97.07|97.07|97.07||0.06%
2014-09-16|97.34|97.34|97.34|97.34||0.28%
2014-09-17|97.23|97.23|97.23|97.23||-0.11%
2014-09-18|96.69|96.69|96.69|96.69||-0.56%
2014-09-19|96.93|96.93|96.93|96.93||0.25%
2014-09-22|96.5|96.5|96.5|96.5||-0.44%
2014-09-23|96.48|96.48|96.48|96.48||-0.02%
2014-09-24|96.52|96.52|96.52|96.52||0.04%
2014-09-25|96.54|96.54|96.54|96.54||0.02%
2014-09-26|96.5|96.5|96.5|96.5||-0.04%
2014-09-29|96.49|96.49|96.49|96.49||-0.01%
2014-09-30|96.47|96.47|96.47|96.47||-0.02%
2014-10-01|92.98|92.98|92.98|92.98||-3.62%
2014-10-02|92.2|92.2|92.2|92.2||-0.84%
2014-10-03|91.36|91.36|91.36|91.36||-0.91%
2014-10-06|92.51|92.51|92.51|92.51||1.26%
2014-10-07|91.11|91.11|91.11|91.11||-1.51%
2014-10-08|90.42|90.42|90.42|90.42||-0.76%
2014-10-09|89.37|89.37|89.37|89.37||-1.16%
2014-10-10|89.65|89.65|89.65|89.65||0.31%
2014-10-13|89.32|89.32|89.32|89.32||-0.37%
2014-10-14|87.16|87.16|87.16|87.16||-2.42%
2014-10-15|86.09|86.09|86.09|86.09||-1.23%
2014-10-16|87.05|87.05|87.05|87.05||1.12%
2014-10-17|87.13|87.13|87.13|87.13||0.09%
2014-10-20|86.84|86.84|86.84|86.84||-0.33%
2014-10-21|86.84|86.84|86.84|86.84||0.00%
2014-10-22|86.34|86.34|86.34|86.34||-0.58%
2014-10-23|86.69|86.69|86.69|86.69||0.41%
2014-10-24|86.61|86.61|86.61|86.61||-0.09%
2014-10-27|86.53|86.53|86.53|86.53||-0.09%
2014-10-28|86.64|86.64|86.64|86.64||0.13%
2014-10-29|86.75|86.75|86.75|86.75||0.13%
2014-10-30|86.66|86.66|86.66|86.66||-0.10%
2014-10-31|86.63|86.63|86.63|86.63||-0.03%
2014-11-03|82.11|82.11|82.11|82.11||-5.22%
2014-11-04|80.23|80.23|80.23|80.23||-2.29%
2014-11-05|80.13|80.13|80.13|80.13||-0.12%
2014-11-06|79.94|79.94|79.94|79.94||-0.24%
2014-11-07|80.19|80.19|80.19|80.19||0.31%
2014-11-10|79.4|79.4|79.4|79.4||-0.99%
2014-11-11|78.84|78.84|78.84|78.84||-0.71%
2014-11-12|78.23|78.23|78.23|78.23||-0.77%
2014-11-13|76.14|76.14|76.14|76.14||-2.67%
2014-11-14|76.85|76.85|76.85|76.85||0.93%
2014-11-17|76.85|76.85|76.85|76.85||0.00%
2014-11-18|76.48|76.48|76.48|76.48||-0.48%
2014-11-19|76.3|76.3|76.3|76.3||-0.24%
2014-11-20|76.64|76.64|76.64|76.64||0.45%
2014-11-21|77.03|77.03|77.03|77.03||0.51%
2014-11-24|76.95|76.95|76.95|76.95||-0.10%
2014-11-25|76.73|76.73|76.73|76.73||-0.29%
2014-11-26|76.62|76.62|76.62|76.62||-0.14%
2014-11-28|76.33|76.33|76.33|76.33||-0.38%
2014-12-01|70.09|70.09|70.09|70.09||-8.18%
2014-12-02|68.04|68.04|68.04|68.04||-2.92%
2014-12-03|67.07|67.07|67.07|67.07||-1.43%
2014-12-04|66.95|66.95|66.95|66.95||-0.18%
2014-12-05|66.2|66.2|66.2|66.2||-1.12%
2014-12-08|64.24|64.24|64.24|64.24||-2.96%
2014-12-09|64.7|64.7|64.7|64.7||0.72%
2014-12-10|62.91|62.91|62.91|62.91||-2.77%
2014-12-11|62.63|62.63|62.63|62.63||-0.45%
2014-12-12|61.58|61.58|61.58|61.58||-1.68%
2014-12-15|61.14|61.14|61.14|61.14||-0.71%
2014-12-16|60.41|60.41|60.41|60.41||-1.19%
2014-12-17|60.74|60.74|60.74|60.74||0.55%
2014-12-18|60.06|60.06|60.06|60.06||-1.12%
2014-12-19|60.61|60.61|60.61|60.61||0.92%
2014-12-22|60.31|60.31|60.31|60.31||-0.49%
2014-12-23|60.67|60.67|60.67|60.67||0.60%
2014-12-24|60.42|60.42|60.42|60.42||-0.41%
2014-12-26|60.41|60.41|60.41|60.41||-0.02%
2014-12-29|60.24|60.24|60.24|60.24||-0.28%
2014-12-30|60.15|60.15|60.15|60.15||-0.15%
2014-12-31|60.11|60.11|60.11|60.11||-0.07%
2015-01-02|53.7|53.7|53.7|53.7||-10.66%
2015-01-05|49.48|49.48|49.48|49.48||-7.86%
2015-01-06|48.18|48.18|48.18|48.18||-2.63%
2015-01-07|48.23|48.23|48.23|48.23||0.10%
2015-01-08|48.01|48.01|48.01|48.01||-0.46%
2015-01-09|47.71|47.71|47.71|47.71||-0.62%
2015-01-12|45.95|45.95|45.95|45.95||-3.69%
2015-01-13|45.36|45.36|45.36|45.36||-1.28%
2015-01-14|46.5|46.5|46.5|46.5||2.51%
2015-01-15|45.58|45.58|45.58|45.58||-1.98%
2015-01-16|46.12|46.12|46.12|46.12||1.18%
2015-01-20|45.29|45.29|45.29|45.29||-1.80%
2015-01-21|45.54|45.54|45.54|45.54||0.55%
2015-01-22|45.4|45.4|45.4|45.4||-0.31%
2015-01-23|45.52|45.52|45.52|45.52||0.26%
2015-01-26|45.42|45.42|45.42|45.42||-0.22%
2015-01-27|45.64|45.64|45.64|45.64||0.48%
2015-01-28|45.53|45.53|45.53|45.53||-0.24%
2015-01-29|45.57|45.57|45.57|45.57||0.09%
