Date|Value
2023-02|2.60%
2023-01|2.40%
2022-12|2.50%
2022-11|2.50%
2022-10|2.60%
2022-09|2.60%
2022-08|2.50%
2022-07|2.60%
2022-06|2.60%
2022-06|2.60%
2022-04|2.50%
2022-03|2.60%
2022-02|2.70%
2022-02|2.80%
2022-01|2.70%
2021-11|2.80%
2021-10|2.70%
2021-09|2.80%
2021-09|2.80%
2021-07|2.80%
2021-06|2.90%
2021-05|3.00%
2021-04|2.80%
2021-03|2.60%
2021-02|2.90%
2021-02|2.90%
2020-12|2.90%
2020-11|2.90%
2020-11|3.10%
2020-09|3.00%
2020-09|3.00%
2020-08|2.90%
2020-06|2.80%
2020-05|2.90%
2020-04|2.60%
2020-03|2.50%
2020-02|2.40%
2020-01|2.40%
2019-12|2.20%
2019-11|2.20%
2019-10|2.40%
2019-10|2.40%
2019-09|2.20%
2019-07|2.20%
2019-06|2.30%
2019-05|2.40%
2019-04|2.40%
2019-03|2.50%
2019-02|2.30%
2019-02|2.50%
2019-01|2.40%
2018-11|2.50%
2018-10|2.40%
2018-09|2.30%
2018-08|2.40%
2018-07|2.50%
2018-06|2.40%
2018-05|2.20%
2018-04|2.50%
2018-03|2.50%
2018-02|2.50%
2018-02|2.40%
2017-12|2.80%
2017-11|2.70%
2017-11|2.80%
2017-09|2.80%
2017-08|2.80%
2017-07|2.80%
2017-06|2.80%
2017-05|3.10%
2017-04|2.80%
2017-03|2.80%
2017-02|2.80%
2017-02|3.00%
2016-12|3.10%
2016-11|3.10%
2016-10|3.00%
2016-09|3.00%
2016-08|3.10%
2016-07|3.00%
2016-06|3.10%
2016-06|3.20%
2016-04|3.20%
2016-03|3.20%
2016-02|3.30%
2016-02|3.20%
2015-12|3.30%
2015-11|3.30%
2015-10|3.10%
2015-09|3.40%
2015-09|3.40%
2015-07|3.30%
2015-06|3.40%
2015-05|3.30%
2015-04|3.30%
2015-04|3.40%
2015-02|3.50%
2015-01|3.60%
2014-12|3.40%
2014-11|3.50%
2014-10|3.50%
2014-09|3.60%
2014-08|3.50%
2014-07|3.70%
2014-06|3.50%
2014-05|3.60%
2014-04|3.60%
2014-04|3.60%
2014-02|3.70%
2014-01|3.70%
2013-12|3.90%
2013-11|3.90%
2013-10|3.90%
2013-09|4.00%
2013-09|3.80%
2013-07|3.90%
2013-06|4.00%
2013-05|4.00%
2013-04|4.10%
2013-03|4.30%
2013-02|4.20%
2013-02|4.20%
2013-01|4.10%
2012-11|4.20%
2012-10|4.20%
2012-09|4.20%
2012-08|4.30%
2012-07|4.30%
2012-06|4.40%
2012-05|4.60%
2012-04|4.50%
2012-03|4.50%
2012-02|4.60%
2012-02|4.50%
2011-12|4.50%
2011-11|4.50%
2011-10|4.20%
2011-09|4.50%
2011-08|4.70%
2011-07|4.60%
2011-06|4.60%
2011-06|4.80%
2011-04|4.70%
2011-03|4.80%
2011-02|4.90%
2011-02|4.90%
2010-12|5.10%
2010-11|5.10%
2010-10|5.00%
2010-09|5.10%
2010-09|5.10%
2010-07|5.30%
2010-06|5.20%
2010-05|5.00%
2010-04|5.00%
2010-03|4.90%
2010-02|4.90%
2010-02|5.10%
2009-12|5.30%
2009-11|5.20%
2009-10|5.40%
2009-09|5.60%
2009-09|5.80%
2009-07|5.50%
2009-06|5.30%
2009-05|5.20%
2009-04|5.00%
2009-04|4.50%
2009-02|4.30%
2009-01|4.60%
2008-12|4.10%
2008-11|4.00%
2008-10|4.20%
2008-09|4.20%
2008-08|4.10%
2008-07|4.10%
