Date|Change
01-Apr|0.04
01-May|0.038
01-Jun|0.038
01-Jul|0.038
01-Aug|0.038
01-Sep|0.036
01-Oct|0.037
01-Nov|0.037
01-Dec|0.037
02-Jan|0.037
02-Feb|0.035
02-Mar|0.034
02-Apr|0.033
02-May|0.033
02-Jun|0.031
02-Jul|0.031
02-Aug|0.033
02-Sep|0.03
02-Oct|0.031
02-Nov|0.031
02-Dec|0.031
03-Jan|0.034
03-Feb|0.033
03-Mar|0.033
03-Apr|0.034
03-May|0.035
03-Jun|0.036
03-Jul|0.036
03-Aug|0.037
03-Sep|0.036
03-Oct|0.038
03-Nov|0.039
03-Dec|0.038
04-Jan|0.036
04-Feb|0.036
04-Mar|0.036
04-Apr|0.036
04-May|0.037
04-Jun|0.035
04-Jul|0.038
04-Aug|0.038
04-Sep|0.037
04-Oct|0.037
04-Nov|0.038
04-Dec|0.038
05-Jan|0.039
05-Feb|0.037
05-Mar|0.037
05-Apr|0.037
05-May|0.037
05-Jun|0.038
05-Jul|0.038
05-Aug|0.037
05-Sep|0.04
05-Oct|0.039
05-Nov|0.036
05-Dec|0.035
06-Jan|0.034
06-Feb|0.035
06-Mar|0.035
06-Apr|0.034
06-May|0.033
06-Jun|0.035
06-Jul|0.035
06-Aug|0.035
06-Sep|0.035
06-Oct|0.035
06-Nov|0.034
06-Dec|0.033
07-Jan|0.033
07-Feb|0.032
07-Mar|0.032
07-Apr|0.033
07-May|0.033
07-Jun|0.032
07-Jul|0.033
07-Aug|0.032
07-Sep|0.032
07-Oct|0.032
07-Nov|0.033
07-Dec|0.031
08-Jan|0.03
08-Feb|0.03
08-Mar|0.031
08-Apr|0.031
08-May|0.032
08-Jun|0.032
08-Jul|0.032
08-Aug|0.033
08-Sep|0.032
08-Oct|0.032
08-Nov|0.033
08-Dec|0.034
09-Jan|0.033
09-Feb|0.034
09-Mar|0.036
09-Apr|0.037
09-May|0.039
09-Jun|0.039
09-Jul|0.038
09-Aug|0.038
09-Sep|0.036
09-Oct|0.035
09-Nov|0.036
09-Dec|0.036
10-Jan|0.047
10-Feb|0.042
10-Mar|0.037
10-Apr|0.036
10-May|0.033
10-Jun|0.032
10-Jul|0.034
10-Aug|0.037
10-Sep|0.034
10-Oct|0.037
10-Nov|0.036
10-Dec|0.034
11-Jan|0.037
11-Feb|0.036
11-Mar|0.04
11-Apr|0.038
11-May|0.038
11-Jun|0.033
11-Jul|0.034
11-Aug|0.034
11-Sep|0.031
11-Oct|0.033
11-Nov|0.032
11-Dec|0.032
12-Jan|0.032
12-Feb|0.035
12-Mar|0.035
12-Apr|0.035
12-May|0.035
12-Jun|0.032
12-Jul|0.033
12-Aug|0.032
12-Sep|0.032
12-Oct|0.031
12-Nov|0.031
12-Dec|0.03
13-Jan|0.03
13-Feb|0.032
13-Mar|0.032
13-Apr|0.032
13-May|0.031
13-Jun|0.032
13-Jul|0.032
13-Aug|0.032
13-Sep|0.031
13-Oct|0.03
13-Nov|0.03
13-Dec|0.029
14-Jan|0.03
14-Feb|0.032
14-Mar|0.037
14-Apr|0.034
14-May|0.036
14-Jun|0.037
14-Jul|0.035
14-Aug|0.034
14-Sep|0.035
14-Oct|0.035
14-Nov|0.034
14-Dec|0.035
15-Jan|0.034
15-Feb|0.039
15-Mar|0.037
15-Apr|0.037
15-May|0.039
15-Jun|0.039
15-Jul|0.037
15-Aug|0.036
15-Sep|0.035
15-Oct|0.034
15-Nov|0.034
15-Dec|0.034
16-Jan|0.035
16-Feb|0.041
16-Mar|0.038
16-Apr|0.037
16-May|0.037
16-Jun|0.036
16-Jul|0.036
16-Aug|0.036
16-Sep|0.04
16-Oct|0.037
16-Nov|0.036
16-Dec|0.034
17-Jan|0.036
17-Feb|0.04
17-Mar|0.037
17-Apr|0.04
17-May|0.036
17-Jun|0.038
17-Jul|0.036
17-Aug|0.038
17-Sep|0.037
17-Oct|0.036
17-Nov|0.037
17-Dec|0.036
18-Jan|0.036
18-Feb|0.036
18-Mar|0.04
18-Apr|0.038
18-May|0.04
18-Jun|0.037
18-Jul|0.038
18-Aug|0.042
18-Sep|0.04
18-Oct|0.039
18-Nov|0.038
18-Dec|0.038
19-Jan|0.044
19-Feb|0.037
19-Mar|0.038
19-Apr|0.041
19-May|0.04
19-Jun|0.04
19-Jul|0.04
19-Aug|0.031
19-Sep|0.034
19-Oct|0.035
19-Nov|0.036
19-Dec|0.038
20-Jan|0.04
20-Feb|0.033
20-Mar|0.038
20-Apr|0.038
20-May|0.045
20-Jun|0.043
20-Jul|0.042
20-Aug|0.032
20-Sep|0.039
20-Oct|0.042
20-Nov|0.041
20-Dec|0.046
21-Jan|0.054
21-Feb|0.04
21-Mar|0.039
21-Apr|0.037
21-May|0.038
21-Jun|0.037
21-Jul|0.033
21-Aug|0.028
21-Sep|0.03
21-Oct|0.032
21-Nov|0.031
21-Dec|0.038
22-Jan|0.036
22-Feb|0.027
22-Mar|0.027
22-Apr|0.027
22-May|0.028
22-Jun|0.029
22-Jul|0.029
22-Aug|0.025
22-Sep|0.028
22-Oct|0.028
22-Nov|0.029
22-Dec|0.033
23-Jan|0.029
23-Feb|0.026
