Date|Close|Open|High|Low|Volume|Change
2001-01-03|484.39|462.49|484.39|459.28||4.74%
2001-01-04|477.2|484.39|484.39|475.9||-1.48%
2001-01-05|463.14|477.2|477.31|461.76||-2.95%
2001-01-08|461.64|463.14|463.14|457.56||-0.32%
2001-01-09|463.95|461.64|466.4|461.39||0.50%
2001-01-10|475.45|463.95|475.45|461.54||2.48%
2001-01-11|483.86|475.45|484.53|474.45||1.77%
2001-01-12|485.75|483.84|487.68|480.17||0.39%
2001-01-16|493.28|485.75|493.46|483.86||1.55%
2001-01-17|493.46|493.28|501.05|493.22||0.04%
2001-01-18|494.63|490.95|494.75|490.02||0.24%
2001-01-19|488.09|494.62|496.19|487.77||-1.32%
2001-01-22|490.15|488.09|490.69|485.99||0.42%
2001-01-23|502.06|490.15|502.07|490.08||2.43%
2001-01-24|502.25|502.06|505.15|501.34||0.04%
2001-01-25|499|502.25|502.25|499||-0.65%
2001-01-26|498.68|499|499.78|494.13||-0.06%
2001-01-29|507.91|498.67|507.91|498.67||1.85%
2001-01-30|511.66|507.91|511.67|506.82||0.74%
2001-01-31|508.34|511.66|515.22|508.03||-0.65%
2001-02-01|508.94|508.33|508.94|505.23||0.12%
2001-02-02|501.5|508.98|509.62|500.79||-1.46%
2001-02-05|500.74|501.02|501.02|498.43||-0.15%
2001-02-06|505.76|500.74|507.46|500.65||1.00%
2001-02-07|507.08|505.76|507.47|502.67||0.26%
2001-02-08|502.89|507.08|508.09|501.93||-0.83%
2001-02-09|497.05|502.89|502.89|494.55||-1.16%
2001-02-12|505.35|497.05|505.36|495.51||1.67%
2001-02-13|502.57|505.35|510.94|502.15||-0.55%
2001-02-14|503.49|502.57|503.49|497.74||0.18%
2001-02-15|508.85|503.49|510.02|503.49||1.06%
2001-02-16|499.28|508.85|508.85|497.65||-1.88%
2001-02-20|491.14|499.28|500.38|490.44||-1.63%
2001-02-21|483.51|491.16|491.16|482.89||-1.55%
2001-02-22|477.26|483.52|483.52|474.62||-1.29%
2001-02-23|477.45|477.26|477.45|465.07||0.04%
2001-02-26|488.31|477.45|488.31|477.45||2.27%
2001-02-27|478.75|488.31|488.31|478.75||-1.96%
2001-02-28|474.37|478.75|479.58|471.28||-0.91%
2001-03-01|473.3|474.38|474.38|465.19||-0.23%
2001-03-02|476.88|473.3|480.3|468.48||0.76%
