Date|Value
1994-10|5.80%
1994-11|5.60%
1994-12|5.50%
1995-01|5.60%
1995-02|5.40%
1995-03|5.40%
1995-04|5.80%
1995-05|5.60%
1995-06|5.60%
1995-07|5.70%
1995-08|5.70%
1995-09|5.60%
1995-10|5.50%
1995-11|5.60%
1995-12|5.60%
1996-01|5.60%
1996-02|5.50%
1996-03|5.50%
1996-04|5.60%
1996-05|5.60%
1996-06|5.30%
1996-07|5.50%
1996-08|5.10%
1996-09|5.20%
1996-10|5.20%
1996-11|5.40%
1996-12|5.40%
1997-01|5.30%
1997-02|5.20%
1997-03|5.20%
1997-04|5.10%
1997-05|4.90%
1997-06|5%
1997-07|4.90%
1997-08|4.80%
1997-09|4.90%
1997-10|4.70%
1997-11|4.60%
1997-12|4.70%
1998-01|4.60%
1998-02|4.60%
1998-03|4.70%
1998-04|4.30%
1998-05|4.40%
1998-06|4.50%
1998-07|4.50%
1998-08|4.50%
1998-09|4.60%
1998-10|4.50%
1998-11|4.40%
1998-12|4.40%
1999-01|4.30%
1999-02|4.40%
1999-03|4.20%
1999-04|4.30%
1999-05|4.20%
1999-06|4.30%
1999-07|4.30%
1999-08|4.20%
1999-09|4.20%
1999-10|4.10%
1999-11|4.10%
1999-12|4%
2000-01|4%
2000-02|4.10%
2000-03|4%
2000-04|3.80%
2000-05|4%
2000-06|4%
2000-07|4%
2000-08|4.10%
2000-09|3.90%
2000-10|3.90%
2000-11|3.90%
2000-12|3.90%
2001-01|4.20%
2001-02|4.20%
2001-03|4.30%
2001-04|4.40%
2001-05|4.30%
2001-06|4.50%
2001-07|4.60%
2001-08|4.90%
2001-09|5%
2001-10|5.30%
2001-11|5.50%
2001-12|5.70%
2002-01|5.70%
2002-02|5.70%
2002-03|5.70%
2002-04|5.90%
2002-05|5.80%
2002-06|5.80%
2002-07|5.80%
2002-08|5.70%
2002-09|5.70%
2002-10|5.70%
2002-11|5.90%
2002-12|6%
2003-01|5.80%
2003-02|5.90%
2003-03|5.90%
2003-04|6%
2003-05|6.10%
2003-06|6.30%
2003-07|6.20%
2003-08|6.10%
2003-09|6.10%
2003-10|6%
2003-11|5.80%
2003-12|5.70%
2004-01|5.70%
2004-02|5.60%
2004-03|5.80%
2004-04|5.60%
2004-05|5.60%
2004-06|5.60%
2004-07|5.50%
2004-08|5.40%
2004-09|5.40%
2004-10|5.50%
2004-11|5.40%
2004-12|5.40%
2005-01|5.30%
2005-02|5.40%
2005-03|5.20%
2005-04|5.20%
2005-05|5.10%
2005-06|5%
2005-07|5%
2005-08|4.90%
2005-09|5%
2005-10|5%
2005-11|5%
2005-12|4.90%
2006-01|4.70%
2006-02|4.80%
2006-03|4.70%
2006-04|4.70%
2006-05|4.60%
2006-06|4.60%
2006-07|4.70%
2006-08|4.70%
2006-09|4.50%
2006-10|4.40%
2006-11|4.50%
2006-12|4.40%
2007-01|4.60%
2007-02|4.50%
2007-03|4.40%
2007-04|4.50%
2007-05|4.40%
2007-06|4.60%
2007-07|4.70%
2007-08|4.60%
2007-09|4.70%
2007-10|4.70%
2007-11|4.70%
2007-12|5%
2008-01|5%
2008-02|4.90%
2008-03|5.10%
2008-04|5%
2008-05|5.40%
2008-06|5.60%
2008-07|5.60%
2008-08|5.70%
2008-09|6.10%
2008-10|6.30%
2008-11|6.80%
2008-12|7.00%
2009-01|7.50%
2009-02|7.90%
2009-03|8.50%
2009-04|8.90%
2009-05|9.20%
2009-06|9.60%
2009-07|9.60%
2009-08|9.50%
2009-09|9.80%
2009-10|9.90%
2009-11|10.20%
2009-12|10.10%
2010-01|10.00%
2010-02|9.80%
2010-03|9.70%
2010-04|9.70%
2010-05|9.80%
2010-06|9.80%
2010-07|9.60%
2010-08|9.60%
2010-09|9.70%
2010-10|9.60%
2010-11|9.60%
2010-12|9.70%
2011-01|9.60%
2011-02|9.10%
2011-03|8.90%
2011-04|8.80%
2011-05|9.00%
2011-06|9.10%
2011-07|9.20%
2011-08|9.10%
2011-09|9.10%
2011-10|9.10%
2011-11|9.00%
2011-12|8.70%
2012-01|8.50%
2012-02|8.30%
2012-03|8.30%
2012-04|8.20%
2012-05|8.10%
2012-06|8.20%
2012-07|8.20%
2012-08|8.30%
2012-09|8.20%
2012-10|7.90%
2012-11|7.90%
2012-12|7.70%
2013-01|7.80%
2013-02|7.90%
2013-03|7.70%
2013-04|7.60%
2013-05|7.50%
2013-06|7.50%
2013-07|7.50%
2013-08|7.40%
2013-09|7.30%
2013-10|7.30%
2013-11|7.20%
2013-12|7.00%
2014-01|6.70%
2014-02|6.60%
2014-03|6.60%
2014-04|6.60%
2014-05|6.40%
2014-06|6.30%
2014-07|6.10%
2014-08|6.10%
2014-09|5.90%
2014-10|5.80%
2014-11|5.80%
2014-12|5.60%
2015-01|5.70%
2015-02|5.50%
2015-03|5.50%
2015-04|5.40%
2015-05|5.50%
2015-06|5.30%
2015-07|5.30%
2015-08|5.10%
2015-09|5.10%
2015-10|5.00%
2015-11|5.00%
2015-12|5.00%
2016-01|4.90%
2016-02|4.90%
2016-03|5.00%
2016-04|5.00%
2016-05|4.70%
2016-06|4.90%
2016-07|4.90%
2016-08|4.90%
2016-09|5.00%
2016-10|4.90%
2016-11|4.60%
2016-12|4.70%
2017-01|4.80%
2017-02|4.70%
2017-03|4.50%
2017-04|4.40%
2017-05|4.30%
2017-06|4.40%
2017-07|4.30%
2017-08|4.40%
2017-09|4.20%
2017-10|4.10%
2017-11|4.10%
2017-12|4.10%
2018-01|4.10%
2018-02|4.10%
2018-03|4.10%
2018-04|3.90%
2018-05|3.80%
2018-06|4.00%
2018-07|3.90%
2018-08|3.90%
2018-09|3.70%
2018-10|3.70%
2018-11|3.70%
2018-12|3.90%
2019-01|4.00%
2019-02|3.80%
2019-03|3.80%
2019-04|3.60%
2019-05|3.60%
2019-06|3.70%
2019-07|3.70%
2019-08|3.70%
2019-09|3.50%
2019-10|3.60%
2019-11|3.50%
2019-12|3.50%
2020-01|3.60%
2020-02|3.50%
2020-03|4.40%
2020-04|14.70%
2020-05|13.30%
2020-06|11.10%
2020-07|10.20%
2020-08|8.40%
2020-09|7.90%
2020-10|6.90%
2020-11|6.70%
2020-12|6.70%
2021-01|6.30%
2021-02|6.20%
2021-03|6.00%
2021-04|6.10%
2021-05|5.80%
2021-06|5.90%
2021-07|5.40%
2021-08|5.20%
2021-09|4.80%
2021-10|4.60%
2021-11|4.20%
2021-12|3.90%
2022-01|4.00%
2022-02|3.80%
2022-03|3.60%
2022-04|3.60%
2022-05|3.60%
2022-06|3.60%
2022-07|3.50%
2022-08|3.70%
2022-09|3.50%
2022-10|3.70%
2022-11|3.70%
2022-12|3.50%
2023-01|3.40%
2023-02|3.60%
